location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Hospital,Multipurpose Room,Rain Water Harvesting,Vaastu Compliant,ATM,Car Parking,Intercom,Maintenance Staff,School,Shopping Mall,Staff Quarter,Golf Course,Cafeteria,Indoor Games
New chandigarh mohali,1800,13500000,INR,1,0,0,"A plot property is available for sale in New chandigarh mohali, Chandigarh. It has an area of 1800 sqft. The property is available at a price of Rs. 1.35 cr . Its entry is north facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. ",1,north,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,2700,22500000,INR,1,0,0,"A plot is available at a prime location in New chandigarh mohali. It has an area of 2700 sqft and is priced at Rs. 2.25 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1089,435479,INR,1,1,0,"This plot is situated in Yadagirigutta. It has an area of 1089 sqft. The property is available at a price of Rs. 4.35 lac . It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Sector 68,3600,36000000,INR,1,0,0,"This plot is situated in Sector 68. It has an area of 3600 sqft and is priced at Rs. 3.60 cr . It is southeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,southeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhakoli,1550,3800000,INR,1,0,0,"A plot property is available for sale in Dhakoli, Chandigarh. It has an area of 1550 sqft. The property is available at a price of Rs. 38.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1800,2000000,INR,1,1,0,"This plot is situated in Yadagirigutta, Chandigarh. It has an area of 1800 sqft and is priced at Rs. 20.00 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Sector 79,2700,28500000,INR,1,0,0,"A plot is available at a prime location in Sector 79. It has an area of 2700 sqft and is priced at Rs. 2.85 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,southeast,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,2700,21500000,INR,1,0,0,"A plot is available at a prime location in New chandigarh mohali. It has an area of 2700 sqft. The property is available at a price of Rs. 2.15 cr . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1089,484000,INR,1,1,0,"121 Square yard Plot for sale in Yadagirigutta, Hyderabad. This land has a dimension of 12.0 mt length 12.0 mt width. Price. The width of the facing road is 40.0 mt. The most popular landmarks near this plot are ZPHS Peddakandukur, Durga Tempul, and Millc Kendram",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Lohgarh,900,5000000,INR,1,1,0,"This plot is situated in Lohgarh. It has an area of 900 sqft. The property is available at a price of Rs. 50.00 lac . It is north facing property. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,north,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 77,1160,9200000,INR,1,1,0,"This plot is situated in Sector 77, Chandigarh. It has an area of 1160 sqft and is priced at Rs. 92.00 lac . Its entry is southwest facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,southwest,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,5445,1000000,INR,1,1,0,"A plot is available at a prime location in Yadagirigutta. It has a salable area of 5445 sqft and is available at a price of Rs. 183 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 77,1125,9500000,INR,1,0,0,"A plot is available for sale in Sector 77, Chandigarh. It has an area of 1125 sqft and is priced at Rs. 95.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,north,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1611,3580000,INR,1,1,0,"This plot is situated in Yadagirigutta. It has a salable area of 1611 sqft and is available at a price of Rs. 2,222 per sqft. It is west facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sunny Enclave,4500,15000000,INR,1,0,0,"This plot is situated in Sunny Enclave. It has an area of 4500 sqft and is priced at Rs. 1.50 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1323,3700000,INR,1,1,0,"This plot is situated in Yadagirigutta. It has an area of 1323 sqft. The property is available at a price of Rs. 37.00 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1800,1540000,INR,1,1,0,"A plot is available at a prime location in Yadagirigutta. It has an area of 1800 sqft. The property is available at a price of Rs. 15.40 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
