location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Multipurpose Room,Intercom,Maintenance Staff,Car Parking,Rain Water Harvesting,Vaastu Compliant,Indoor Games,Golf Course,Cafeteria,ATM,Hospital,School,Shopping Mall,Staff Quarter
Warje,1500,10000000,INR,1,0,0,"It has an area of 1500 sqft. The property is available at a price of Rs. 1.00 cr . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8.1,,,,,,,,,,,,,,,,
Wagholi,1600,6400000,INR,1,0,0,"This plot is situated in Aslam Abdulla Haji Amado Infinity, Wagholi. It has a salable area of 1600 sqft and is available at a price of Rs. 4,000 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,,,,,,,,,
Bibwewadi,2500,26000000,INR,1,0,0,"A plot property is available for sale in Bibwewadi, Pune. It has an area of 2500 sqft and is priced at Rs. 2.60 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,8.5,,,,,,,,,,,,,,,,
NIBM Annex Mohammadwadi,8900,50000000,INR,1,0,0,"This plot is available for sale and is located in Purple Properties Cloud 9, one of the most prestigious projects of NIBM Annex Mohammadwadi. It has a salable area of 8900 sqft and is available at a price of Rs. 5,617 per sqft. Its entry is north facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,north,0,15,0,1,1,1,1,1,1,0,1,1,,7.9,123.0,1.0,1.0,1.0,1.0,,,,,,,,,,
Bavdhan,2500,24000000,INR,0,1,0,"This plot is available for sale and is located in Shrem Trading Kekarav, one of the most prestigious projects of Bavdhan. It has a salable area of 2500 sqft and is available at a price of Rs. 9,600 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,east,0,0,0,1,0,0,0,1,1,0,0,0,8.1,,,,,,,,,,,,,,,,
Kolwadi,1000,1000000,INR,1,1,0,"This plot is situated in Kolwadi, Pune. It has an area of 1000 sqft and is priced at Rs. 10.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Charholi Budruk,1000,1800000,INR,1,1,0,"This plot is situated in Charholi Budruk, Pune. It has an area of 1000 sqft. The property is available at a price of Rs. 18.00 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,east,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Lohegaon,1000,2700000,INR,1,1,0,"1000 Square feet Plot for sale in Lohegaon, Pune. This land has a dimension of 30.0 mt length 35.0 mt width. Price. This is a corner plot. The plot is East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 4. The most popular landmarks near this plot are Rolls Mania, Orchid Hospital, and Sharad Pawar International Dental School",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,,,,,,,,,
Vadgaon,3000,3800000,INR,1,0,0,"A plot is available for sale in Vadgaon, Pune. It has an area of 3000 sqft. The property is available at a price of Rs. 38.00 lac . Its entry is north facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,north,0,3,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Moshi,1156,5450000,INR,1,0,0,"This plot is situated in Ramdas Maruti Borate Siddhivinayak Park Plot I, Moshi, Pune. It has a salable area of 1156 sqft and is available at a price of Rs. 4,714 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,,0,0,0,1,0,0,0,0,0,0,0,0,7.9,,,,,,,,,,,,,,,,
Mulshi,11200,2200000,INR,1,1,0,"11200 Square feet Plot for sale in Mulshi, Pune. This land has a dimension of 200.0 mt length 56.0 mt width. Price. The width of the facing road is 30.0 mt. The most popular landmarks near this plot are Paradise Cafe and Basho''s",1,,0,0,0,0,0,0,0,0,0,0,0,0,5.2,,,,,,,,,,,,,,,,
