location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Multipurpose Room,Intercom,Maintenance Staff,Car Parking,Rain Water Harvesting,Vaastu Compliant,Indoor Games,Golf Course,Cafeteria,ATM,Hospital,School,Shopping Mall,Staff Quarter
Koregaon Bhima,1000,550000,INR,1,1,0,"1000 Square feet Plot for sale in Koregaon Bhima, Pune. This land has a dimension of 30.0 mt length 33.0 mt width. Price. This is a corner plot. The plot is East facing. There are 3 open sides for this plot. The width of the facing road is 50.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 5. The most popular landmarks near this plot are Chaitanya Mukbadhir Vidyalay, Glory English Medium School, and Al Ameen Educational & Medical Foundation",1,east,0,6,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Vishrantwadi,1000,480000,INR,1,1,0,"A plot is available for sale in Vishrantwadi, Pune. It has an area of 1000 sqft. The property is available at a price of Rs. 4.80 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,8.9,,,,,,,,,,,,,,,,
Bakori,1000,450000,INR,1,1,0,"A plot is available for sale in Bakori, Pune. It has a salable area of 1000 sqft and is available at a price of Rs. 450 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. ",1,east,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Loni Kalbhor,1120,680000,INR,1,1,0,"A plot property is available for sale in Loni Kalbhor, Pune. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,7.3,,,,,,,,,,,,,,,,
Loni Kalbhor,1200,624000,INR,1,1,0,"1200 Square feet Plot for sale in Loni Kalbhor, Pune. This land has a dimension of 30.0 mt length 40.0 mt width. Price. This is a corner plot. The plot is East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 4. The most popular landmarks near this plot are Jivan Shikshan Vidya Mandir, Prithviraj Kapoor Memorial High School, and English Medium School, Loni Kalbhor",1,east,0,0,0,0,0,0,0,0,0,0,0,0,7.3,,,,,,,,,,,,,,,,
Kunjirwadi,1000,525000,INR,1,1,0,"A plot is available for sale in Kunjirwadi, Pune. It has an area of 1000 sqft and is priced at Rs. 5.25 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
kesnand,1000,1580500,INR,1,1,0,"A plot is available for sale in kesnand, Pune. It has an area of 1000 sqft. The property is available at a price of Rs. 15.81 lac . It is west facing property. It is well connected to the city areas. Please contact us for more details. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Mahalunge,11000,27500000,INR,1,1,0,"A plot is available for sale in Mahalunge, Pune. It has a salable area of 11000 sqft and is available at a price of Rs. 2,500 per sqft. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8.3,,,,,,,,,,,,,,,,
Undri,1910,4800000,INR,1,1,0,"It has an area of 1910 sqft. The property is available at a price of Rs. 48.00 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,east,0,0,0,0,0,1,1,1,1,0,0,0,8.3,,,,,,,,,,,,,,,,
"Ramnagar , Lonikand",1000,1300101,INR,1,1,0,"This plot is situated in Ramnagar , Lonikand, Pune. It has an area of 1000 sqft and is priced at Rs. 13.00 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,east,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
kesnand,1000,1580999,INR,1,1,0,"A plot is available at a prime location in kesnand. It has an area of 1000 sqft. The property is available at a price of Rs. 15.81 lac . Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
kesnand,1000,1545555,INR,1,1,0,"A plot is available for sale in kesnand, Pune. It has an area of 1000 sqft. The property is available at a price of Rs. 15.46 lac . It is west facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
kesnand,1000,1570500,INR,1,1,0,"A plot is available at a prime location in kesnand. It has a salable area of 1000 sqft and is available at a price of Rs. 1,570 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Shiraswadi,1100,1300001,INR,0,1,0,"It has an area of 1100 sqft. The property is available at a price of Rs. 13.00 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
kesnand,1100,1300001,INR,0,1,0,"A plot property is available for sale in kesnand, Pune. It has a salable area of 1100 sqft and is available at a price of Rs. 1,181 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
kesnand,1000,1566999,INR,1,1,0,"This plot is situated in kesnand, Pune. It has an area of 1000 sqft. The property is available at a price of Rs. 15.67 lac . It is west facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
kesnand,1000,1579999,INR,1,1,0,"This plot is situated in kesnand, Pune. It has an area of 1000 sqft. The property is available at a price of Rs. 15.80 lac . Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
kesnand,1000,1561500,INR,1,1,0,"This plot is available for sale and is located in the heart of kesnand. It has a salable area of 1000 sqft and is available at a price of Rs. 1,561 per sqft. Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
kesnand,1000,1571500,INR,1,1,0,"A plot is available for sale in kesnand, Pune. It has an area of 1000 sqft and is priced at Rs. 15.72 lac . Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
kesnand,1000,1563500,INR,1,1,0,"A plot property is available for sale in kesnand, Pune. It has a salable area of 1000 sqft and is available at a price of Rs. 1,563 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
kesnand,1000,1558999,INR,1,1,0,"This plot is situated in kesnand. It has an area of 1000 sqft and is priced at Rs. 15.59 lac . It is facing west direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
kesnand,1000,1309000,INR,1,1,0,"A plot property is available for sale in kesnand, Pune. It has an area of 1000 sqft and is priced at Rs. 13.09 lac . It is west facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Manjari Budruk,1000,200000,INR,1,1,0,"This plot is situated in Manjari Budruk. It has an area of 1000 sqft. The property is available at a price of Rs. 2.00 lac . It is facing west direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",1,west,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,
Manjari Budruk,2000,400000,INR,1,1,0,"This plot is situated in Manjari Budruk. It has an area of 2000 sqft and is priced at Rs. 4.00 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
kesnand,11000,1500000,INR,1,1,0,"A plot is available at a prime location in kesnand. It has a salable area of 11000 sqft and is available at a price of Rs. 136 per sqft. It is facing west direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,west,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
Wagholi,2000,551000,INR,1,1,0,"A plot is available at a prime location in Wagholi. It has an area of 2000 sqft. The property is available at a price of Rs. 5.51 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,1,0,0,0,0,8.0,,,,,,,,,,,,,,,,
Mohammed wadi,2000,400000,INR,1,1,0,"This plot is situated in Mohammed wadi. It has a salable area of 2000 sqft and is available at a price of Rs. 200 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,northwest,0,4,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Lohegaon,2000,551000,INR,1,1,0,"This plot is available for sale and is located in the heart of Lohegaon. It is facing north direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,north,0,0,0,0,0,0,0,1,1,0,0,0,8.0,,,,,,,,,,,,,,,,
Lohegaon,3000,500000,INR,1,1,0,"A plot property is available for sale in Lohegaon, Pune. It has a salable area of 3000 sqft and is available at a price of Rs. 166 per sqft. It is facing west direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,west,0,0,0,0,0,0,0,1,1,0,0,0,8.0,,,,,,,,,,,,,,,,
Manjari Budruk,1000,300000,INR,1,1,0,"This plot is situated in Manjari Budruk, Pune. It has a salable area of 1000 sqft and is available at a price of Rs. 300 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,west,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Bhegade Aali,1000,265000,INR,1,1,0,"This plot is situated in Bhegade Aali, Pune. It has a salable area of 1000 sqft and is available at a price of Rs. 265 per sqft. Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,west,0,3,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Kharadi,1000,149999,INR,1,1,0,"Only 45 mins from Hadapsar.
Very close to Delhi Bangalore Highway
More than 200 plot Planned Project.
Hurry up Bookings Started in full swing!!
Garden Area
Kids play area
Road side plantation
Entire Project Compound
Electricity Connection
Water Connection, Security cabin, Open space 
 More About This Property 1000 Square feet Plot for sale in Kharadi, Pune. This land has a dimension of 34.0 mt length 32.0 mt width. Price. This is a corner plot. The plot is South-East facing. There are 2 open sides for this plot. The width of the facing road is 32.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 8. The most popular landmarks near this plot are Eon Gyanankur English school, Eon Gyanankur School, and Hotel Kaveri",1,southeast,0,0,0,0,0,0,0,0,0,0,0,0,8.9,,,,,,,,,,,,,,,,
Mohammed wadi,3000,500000,INR,1,1,0,"This Specially Designed project Situated on 18 acres of land with a magnificent, Splendid Developments

?	KEY POINTS TO BUY
Lowest Rate in entire Vicinity (with all amenities) 
Best Investment Opportunity
Kurkumbh MIDC 
Excellent Connectivity with Pune-Sholapur Highway, Airport & Railway Station.
 More About This Property 3000 Square feet Plot for sale in Undri, Pune. This land has a dimension of 50.0 mt length 60.0 mt width. Price. This is a corner plot. The plot is North-East facing. There are 3 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 4. The most popular landmarks near this plot are The Bishop's School, Hotel Shivendra, and Delhi Public School",1,northeast,0,4,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
Charholi Budruk,2000,551000,INR,1,1,0,"A plot is available at a prime location in Charholi Budruk. It has a salable area of 2000 sqft and is available at a price of Rs. 275 per sqft. It is facing northwest direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,northwest,0,5,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Hadapsar,1000,150000,INR,1,1,0,"1) ENTRANCE GATE WITH SECURITY
2) children's PLAY AREA , GARDEN , GAZEBBO, SWIMMING POOL
3) INTERNAL TAR ROAD
4) ELECTRICITY AND WATER CIRCULATION TO EACH PLOT
5) ROAD SIDE TREE PLANTATION AND STREET LIGHT POLE
6) NAME BOARD IN EACH PLOT
		NEARBY DEVELOPMENTS
1) PUNE - SOLAPUR HIGHWAY 			4 KM
2) PAlakhhHI MAHAMARG ( BARAMATI ROAD) 		0.5 KM
3) KURKUMBH MIDC					4 KM
4 ) DAUND RAILWAY JUNCTION 			12 KM
5) BARAMATI MIDC 					22 KM
 More About This Property 1000 Square feet Plot for sale in Hadapsar, Pune. This land has a dimension of 33.0 mt length 30.0 mt width. Price. This is a corner plot. The plot is North-West facing. There are 3 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are Bantar School, Nande Hospital, and Kokkita Family Garden Restaurant",1,northwest,0,0,0,0,0,0,0,0,0,0,0,0,9.4,,,,,,,,,,,,,,,,
Lohegaon,1000,300000,INR,1,1,0,"This plot is situated in Lohegaon. It has an area of 1000 sqft and is priced at Rs. 3.00 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,northeast,0,0,0,0,0,0,0,1,1,0,0,0,8.0,,,,,,,,,,,,,,,,
Hadapsar,2000,551000,INR,1,1,0,"This plot is situated in Hadapsar, Pune. It has an area of 2000 sqft and is priced at Rs. 5.51 lac . It is facing west direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,west,0,0,0,0,0,0,0,1,1,0,0,0,9.4,,,,,,,,,,,,,,,,
Wagholi,1000,150000,INR,1,1,0,"A plot is available for sale in Wagholi, Pune. It has a salable area of 1000 sqft and is available at a price of Rs. 150 per sqft. It is west facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,west,0,0,0,0,0,0,0,0,1,0,0,0,8.0,,,,,,,,,,,,,,,,
kesnand,1000,1569999,INR,1,1,0,"A plot is available at a prime location in kesnand. It has an area of 1000 sqft and is priced at Rs. 15.70 lac . It is facing west direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
kesnand,1000,1554999,INR,1,1,0,"This plot is situated in kesnand, Pune. It has an area of 1000 sqft. The property is available at a price of Rs. 15.55 lac . It is west facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
kesnand,1000,1553500,INR,1,1,0,"A plot is available at a prime location in kesnand. It has a salable area of 1000 sqft and is available at a price of Rs. 1,553 per sqft. Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
kesnand,1000,1306555,INR,1,1,0,"This plot is situated in kesnand. Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Saswad,1200,480000,INR,1,1,0,"It has an area of 1200 sqft. The property is available at a price of Rs. 4.80 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,6.0,,,,,,,,,,,,,,,,
Wagholi,1200,1500000,INR,1,0,0,"1200 Square feet Plot for sale in Wagholi, Pune. This land has a dimension of 30.0 mt length 33.0 mt width. Price. The width of the facing road is 25.0 mt. The most popular landmarks near this plot are Primary Health Centre, Bbs International School, and Nawale Hospital",1,,0,0,0,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,,,,,,,,,
Hadapsar,1000,540000,INR,1,1,0,"1000 Square feet Plot for sale in Hadapsar, Pune. This land has a dimension of 33.0 mt length 30.0 mt width. Price. The width of the facing road is 20.0 mt. The most popular landmarks near this plot are Bantar School, Nande Hospital, and Kokkita Family Garden Restaurant",1,,0,0,0,0,0,0,0,0,0,0,0,0,9.4,,,,,,,,,,,,,,,,
Sanaswadi,1200,750000,INR,1,1,0,"A plot is available for sale in Sanaswadi, Pune. It has an area of 1200 sqft. The property is available at a price of Rs. 7.50 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,6.4,,,,,,,,,,,,,,,,
Lohegaon,1000,300000,INR,1,1,0,"This plot is situated in Lohegaon. It has an area of 1000 sqft and is priced at Rs. 3.00 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,northeast,0,0,0,0,0,0,0,1,1,0,0,0,8.0,,,,,,,,,,,,,,,,
Hadapsar,2000,551000,INR,1,1,0,"This plot is situated in Hadapsar, Pune. It has an area of 2000 sqft and is priced at Rs. 5.51 lac . It is facing west direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,west,0,0,0,0,0,0,0,1,1,0,0,0,9.4,,,,,,,,,,,,,,,,
Wagholi,1000,150000,INR,1,1,0,"A plot is available for sale in Wagholi, Pune. It has a salable area of 1000 sqft and is available at a price of Rs. 150 per sqft. It is west facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,west,0,0,0,0,0,0,0,0,1,0,0,0,8.0,,,,,,,,,,,,,,,,
kesnand,1000,1566999,INR,1,1,0,"This plot is situated in kesnand, Pune. It has an area of 1000 sqft. The property is available at a price of Rs. 15.67 lac . It is west facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
kesnand,1000,1579999,INR,1,1,0,"This plot is situated in kesnand, Pune. It has an area of 1000 sqft. The property is available at a price of Rs. 15.80 lac . Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
kesnand,1000,1561500,INR,1,1,0,"This plot is available for sale and is located in the heart of kesnand. It has a salable area of 1000 sqft and is available at a price of Rs. 1,561 per sqft. Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
"Ramnagar , Lonikand",1000,1300015,INR,1,1,0,"A plot property is available for sale in Ramnagar , Lonikand, Pune. It has an area of 1000 sqft and is priced at Rs. 13.00 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,east,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Wagholi,1000,1299999,INR,0,1,0,"This plot is situated in Wagholi, Pune. It has a salable area of 1000 sqft and is available at a price of Rs. 1,299 per sqft. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,,,,,,,,,
Hadapsar,2150,860000,INR,1,1,0,"This plot is situated in Hadapsar. It has a salable area of 2150 sqft and is available at a price of Rs. 400 per sqft. It is facing northwest direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,northwest,0,0,0,0,0,0,0,0,0,0,0,0,9.4,,,,,,,,,,,,,,,,
Pisoli,2030,812000,INR,1,1,0,"This plot is situated in Pisoli, Pune. It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
kesnand,1500,2300000,INR,1,1,0,"This plot is situated in kesnand. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
kesnand,1000,1600127,INR,1,1,0,"It has a salable area of 1000 sqft and is available at a price of Rs. 1,600 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
kesnand,1000,1300400,INR,1,1,0,"This plot is situated in kesnand, Pune. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Perne,1000,1300400,INR,1,1,0,"This plot is situated in Perne. It has an area of 1000 sqft. The property is available at a price of Rs. 13.00 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,east,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Koregaon Bhima,1000,1300400,INR,1,1,0,"This plot is available for sale and is located in the heart of Koregaon Bhima. It has an area of 1000 sqft. The property is available at a price of Rs. 13.00 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,east,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Wagholi,1000,1300400,INR,1,1,0,"This plot is situated in Wagholi, Pune. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,,,,,,,,,
Lonikand,1000,1300400,INR,1,1,0,"This plot is situated in Lonikand, Pune. It has a salable area of 1000 sqft and is available at a price of Rs. 1,300 per sqft. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,6.8,,,,,,,,,,,,,,,,
"Ramnagar , Lonikand",1000,1300400,INR,1,1,0,"This plot is available for sale and is located in the heart of Ramnagar , Lonikand. It has a salable area of 1000 sqft and is available at a price of Rs. 1,300 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,east,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Chinchwad,1000,265000,INR,1,1,0,"This plot is situated in Chinchwad, Pune. It has an area of 1000 sqft. The property is available at a price of Rs. 2.65 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,northwest,0,0,0,0,0,0,0,1,0,0,0,0,9.2,,,,,,,,,,,,,,,,
Manjari Budruk,1000,149999,INR,1,1,0,"Only 45mins from Hadapsar.
Very close to Delhi Bangalore Highway
More than 200 plot Planned Project.
Hurry up Bookings Started in full swing!!
Garden Area
Kids play area
Road side plantation
Entire Project Compound
Electricity Connection
Water Connection, Security cabin, Open space 
 More About This Property 1000 Square feet Plot for sale in Manjari Budruk, Pune. This land has a dimension of 32.0 mt length 34.0 mt width. Price. This is a corner plot. The plot is East facing. There are 3 open sides for this plot. The width of the facing road is 31.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The Kalyani School, Adarsh Vidya Mandir, and Shri Siddhivinayak Hospital",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
