location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Gymnasium,Children's play area,Club House,Lift(s),Swimming Pool,Landscaped Gardens,Rain Water Harvesting,Maintenance Staff,Jogging Track,Sports Facility,Car Parking,24 X 7 Security,Full Power Backup,locality_score,project_score,builder_experience,Indoor Games,ATM,Intercom,School,Shopping Mall,Multipurpose Room,Vaastu Compliant,Cafeteria,Staff Quarter,Hospital,Golf Course
Govindpuram,504,1345000,INR,1,1,0,"This plot is available for sale and is located in the heart of Govindpuram. It has an area of 504 sqft. The property is available at a price of Rs. 13.45 lac . It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Indirapuram,2178,31500000,INR,1,0,0,"2178 Square feet Plot for sale in Shakti Khand III, Ghaziabad. This land has a dimension of 66.0 mt length 33.0 mt width. Price. The plot is East facing. There are 1 open sides for this plot. The width of the facing road is 60.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 4. The most popular landmarks near this plot are Flair Mania Bartending Academy & Events in india, AL-AQSA CHARITABLE TRUST, and JKG International School",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Lal Kuan,540,750000,INR,1,0,0,"This plot is available for sale and is located in Aarvanss Infrastructure Mansarovar Park, one of the most prestigious projects of Lal Kuan. It has an area of 540 sqft and is priced at Rs. 7.50 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,east,0,4,1,1,0,0,0,0,,,0,0,,1,1,7.4,7.8,123.0,,,,,,,,,,,
Dasna,1215,9450000,INR,1,0,0,"This plot is situated in Aditya GZB White Cottage, Dasna. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,east,0,6,1,1,1,1,1,1,,,1,0,1.0,0,1,7.2,8.3,43.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,
Crossing Republik,1638,8600000,INR,1,0,0,"A plot property is available for sale in Ansal API Aquapolis, Crossing Republik, Ghaziabad. It has a salable area of 1638 sqft and is available at a price of Rs. 5,250 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,,0,1,1,1,1,1,1,0,1.0,1.0,1,1,1.0,1,1,,8.8,55.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,
Chhapraula,345,475000,INR,1,1,0,"A plot is available at a prime location in Prithvi Associates Noida Greens. It has a salable area of 345 sqft and is available at a price of Rs. 1,376 per sqft. Its entry is south facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,south,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Dasna,2152,10039080,INR,0,1,0,"A plot property is available for sale in Aditya Builders Pune World City, Dasna, Ghaziabad. It has an area of 2152 sqft and is priced at Rs. 1.00 cr . It has rain water harvesting as well as intercom. The project also has cycling & jogging track, gymnasium, fire fighting system, car parking, atm, water storage, multipurpose room and 24x7_water_supply. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,,0,0,1,1,1,1,1,1,1.0,1.0,1,1,1.0,1,1,7.2,,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Raj Nagar Extension,220,11000000,INR,1,1,0,"220 Square feet Plot for sale in Raj Nagar Extension, Ghaziabad. This land has a dimension of 22.0 mt length 10.0 mt width. Price. The name of the project is Krishna Enclave. The plot is North-East facing. The width of the facing road is 10.0 mt. The most popular landmarks near this plot are Cambridge Montessori Preschool (CMPS), Robin 's Academy, and Anapurna Restaurant",1,northeast,0,0,1,1,1,1,1,0,1.0,,1,0,1.0,1,1,,8.2,123.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,
Raj Nagar Extension,879,1746000,INR,0,1,0,"879 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 29.0 mt length 30.0 mt width. Price. This is a corner plot. The plot is North-East facing. There are 1 open sides for this plot. The width of the facing road is 20.0 mt. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Chhapraula,900,1600000,INR,0,1,0,"It has an area of 900 sqft and is priced at Rs. 16.00 lac . It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,northeast,0,0,1,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
