location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Gymnasium,Children's play area,Club House,Lift(s),Swimming Pool,Landscaped Gardens,Rain Water Harvesting,Maintenance Staff,Jogging Track,Sports Facility,Car Parking,24 X 7 Security,Full Power Backup,locality_score,project_score,builder_experience,Indoor Games,ATM,Intercom,School,Shopping Mall,Multipurpose Room,Vaastu Compliant,Cafeteria,Staff Quarter,Hospital,Golf Course
Raj Nagar Extension,1233,9000000,INR,1,0,0,"It has an area of 1233 sqft. The property is available at a price of Rs. 90.00 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,east,0,0,1,1,1,1,1,0,1.0,,1,0,1.0,1,1,,8.2,123.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,
Chhapraula,540,960000,INR,1,1,0,"This plot is available for sale and is located in the heart of Chhapraula. It has an area of 540 sqft. The property is available at a price of Rs. 9.60 lac . It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,northeast,0,0,1,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Chhapraula,630,1120000,INR,1,1,0,"This plot is situated in Chhapraula, Ghaziabad. It has an area of 630 sqft and is priced at Rs. 11.20 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northeast,0,0,1,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Lal Kuan,550,950000,INR,1,1,0,"550 Square feet Plot for sale in Girdharpur Sunarasi, Ghaziabad. This land has a dimension of 32.0 mt length 17.0 mt width. Price. The name of the project is Aarvanss Modern Heights. The width of the facing road is 17.0 mt. The most popular landmarks near this plot are Shree Ji Unitech Co., Sunrise Academy, and Merry Child International School",1,,0,4,1,0,1,1,1,0,1.0,,1,0,1.0,1,1,7.4,7.7,123.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,
Shakti Khand,3800,56000000,INR,0,0,0,A plot is available at a prime location in Shakti Khand. It has an area of 3800 sqft and is priced at Rs. 5.60 cr . It is east facing property. The site is in close proximity to various civic utilities. Please contact for more details. ,1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,9.3,,,,,,,,,,,,,
Chhapraula,459,875000,INR,1,1,0,"This plot is situated in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has an area of 459 sqft. The property is available at a price of Rs. 8.75 lac . It is northwest facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,453,746000,INR,1,1,0,"This plot is situated in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has a salable area of 453 sqft and is available at a price of Rs. 1,646 per sqft. Its entry is southeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,southeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,538,738000,INR,1,1,0,"A plot property is available for sale in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has a salable area of 538 sqft and is available at a price of Rs. 1,371 per sqft. It is northwest facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,549,742000,INR,1,1,0,"A plot is available at a prime location in Prithvi Associates Noida Greens. It has an area of 549 sqft and is priced at Rs. 7.42 lac . It is southeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,southeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,689,772000,INR,1,1,0,"This plot is available for sale and is located in Prithvi Associates Noida Greens, one of the most prestigious projects of Chhapraula. It has an area of 689 sqft. The property is available at a price of Rs. 7.72 lac . It is southeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,southeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,549,749000,INR,1,1,0,"A plot is available for sale in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has an area of 549 sqft and is priced at Rs. 7.49 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,southeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,432,743000,INR,1,1,0,"A plot is available at a prime location in Prithvi Associates Noida Greens. It has a salable area of 432 sqft and is available at a price of Rs. 1,719 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,southeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,682,771000,INR,1,1,0,"This plot is situated in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. Its entry is northwest facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,678,769000,INR,1,1,0,"A plot property is available for sale in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has an area of 678 sqft. The property is available at a price of Rs. 7.69 lac . Its entry is northwest facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,676,768000,INR,1,1,0,"A plot is available for sale in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has an area of 676 sqft and is priced at Rs. 7.68 lac . It is southeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,southeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,645,761000,INR,1,1,0,"It has an area of 645 sqft. The property is available at a price of Rs. 7.61 lac . It is northwest facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,589,752500,INR,1,1,0,"This plot is situated in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has a salable area of 589 sqft and is available at a price of Rs. 1,277 per sqft. It is northwest facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,689,735000,INR,1,1,0,"It has an area of 689 sqft and is priced at Rs. 7.35 lac . It is facing northwest direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,549,752000,INR,1,1,0,"It has an area of 549 sqft and is priced at Rs. 7.52 lac . Its entry is southeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,southeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,625,832000,INR,1,1,0,"This plot is situated in Prithvi Associates Noida Greens, Chhapraula. It has an area of 625 sqft and is priced at Rs. 8.32 lac . It is facing southeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,southeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,668,1010000,INR,1,1,0,"This plot is available for sale and is located in Prithvi Associates Noida Greens, one of the most prestigious projects of Chhapraula. It has an area of 668 sqft. The property is available at a price of Rs. 10.10 lac . It is facing northwest direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,713,1120000,INR,1,1,0,"This plot is available for sale and is located in Prithvi Associates Noida Greens, one of the most prestigious projects of Chhapraula. Its entry is northwest facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,623,950000,INR,1,1,0,"A plot is available for sale in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has an area of 623 sqft and is priced at Rs. 9.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,427,955000,INR,1,1,0,"This plot is available for sale and is located in Prithvi Associates Noida Greens, one of the most prestigious projects of Chhapraula. It has an area of 427 sqft and is priced at Rs. 9.55 lac . It is southeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",1,southeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,534,780000,INR,1,1,0,"This plot is situated in Prithvi Associates Noida Greens, Chhapraula. It has an area of 534 sqft and is priced at Rs. 7.80 lac . It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,802,1260000,INR,1,1,0,"This plot is available for sale and is located in Prithvi Associates Noida Greens, one of the most prestigious projects of Chhapraula. It has an area of 802 sqft. The property is available at a price of Rs. 12.60 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,713,1080000,INR,1,1,0,"This plot is situated in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has an area of 713 sqft. The property is available at a price of Rs. 10.80 lac . It is facing northwest direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,508,912000,INR,1,1,0,"It has an area of 508 sqft and is priced at Rs. 9.12 lac . Its entry is northwest facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,720,1090000,INR,1,1,0,"A plot is available for sale in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has an area of 720 sqft. The property is available at a price of Rs. 10.90 lac . It is northwest facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,534,792000,INR,1,1,0,"A plot is available at a prime location in Prithvi Associates Noida Greens. It has an area of 534 sqft. The property is available at a price of Rs. 7.92 lac . Its entry is northwest facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,695,1029600,INR,1,1,0,"It has an area of 695 sqft. The property is available at a price of Rs. 10.30 lac . It is southeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,southeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,850,1710000,INR,1,1,0,"This plot is available for sale and is located in Prithvi Associates Noida Greens, one of the most prestigious projects of Chhapraula. It has an area of 850 sqft. The property is available at a price of Rs. 17.10 lac . It is facing south direction. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,south,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,579,858000,INR,1,1,0,"A plot is available for sale in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has an area of 579 sqft. The property is available at a price of Rs. 8.58 lac . It is southeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,southeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,623,910000,INR,1,1,0,"This plot is situated in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has an area of 623 sqft. The property is available at a price of Rs. 9.10 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,534,810000,INR,1,1,0,"A plot is available for sale in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has an area of 534 sqft. The property is available at a price of Rs. 8.10 lac . It is facing northwest direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,445,784000,INR,1,1,0,"A plot property is available for sale in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has an area of 445 sqft and is priced at Rs. 7.84 lac . Its entry is northwest facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,463,702000,INR,1,1,0,"This plot is situated in Prithvi Associates Noida Greens, Chhapraula. It has an area of 463 sqft and is priced at Rs. 7.02 lac . It is facing northwest direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,668,1012500,INR,1,1,0,"It has an area of 668 sqft and is priced at Rs. 10.13 lac . It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,713,1080000,INR,1,1,0,"This plot is situated in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has an area of 713 sqft. The property is available at a price of Rs. 10.80 lac . It is facing northwest direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,508,912000,INR,1,1,0,"It has an area of 508 sqft and is priced at Rs. 9.12 lac . Its entry is northwest facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,1069,1920000,INR,1,1,0,"A plot is available for sale in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has an area of 1069 sqft. The property is available at a price of Rs. 19.20 lac . It is northwest facing property. The society is well connected by different modes of transportation. Contact us for more details. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,579,877500,INR,1,1,0,"This plot is available for sale and is located in Prithvi Associates Noida Greens, one of the most prestigious projects of Chhapraula. It has a salable area of 579 sqft and is available at a price of Rs. 1,515 per sqft. It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,434,820000,INR,1,1,0,"A plot is available at a prime location in Prithvi Associates Noida Greens. It has a salable area of 434 sqft and is available at a price of Rs. 1,889 per sqft. Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,820,1564000,INR,1,1,0,"This plot is situated in Prithvi Associates Noida Greens, Chhapraula. It has an area of 820 sqft and is priced at Rs. 15.64 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Lal Kuan,900,1950000,INR,1,1,0,"This plot is available for sale and is located in Aarvanss Infrastructure Modern Heights, one of the most prestigious projects of Lal Kuan. It has a salable area of 900 sqft and is available at a price of Rs. 2,166 per sqft. It is east facing property. It is well connected to the city areas. Please contact for more details. ",1,east,0,4,1,0,1,1,1,0,1.0,,1,0,1.0,1,1,7.4,7.7,123.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,
Lal Kuan,648,1155000,INR,1,1,0,"This plot is situated in Aarvanss Infrastructure Modern Heights, Lal Kuan. It has an area of 648 sqft and is priced at Rs. 11.55 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,east,0,4,1,0,1,1,1,0,1.0,,1,0,1.0,1,1,7.4,7.7,123.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,
Lal Kuan,648,1155000,INR,1,1,0,"Takshvi global home's THE Mission of company is to the Most Sucessful Real Estate Company in Delhi NCR .
Takshvi Group is Young Vibrant and Dynamic reality Company with expending intrest in residential & Commercial Real Estate. We have young , Growing and Dynamic team of professional specializing in the marketing listings and saleing new Residential Plots and house .Undevloped land and commercial and investing opportunities .takshvi global home's is a creative innovative and people oriented organization providing individual opportunities personal satisfaction and rewarding challenges in all members of the company 


PROJECT SPECIFICATION & LOCATION ADVANTAGES
ECOFRIENDLY AND POLLUTION FREE TOWNSHIP
Blakhh TOP WIDE ROAD
GATED SOCIETY 
DEVLOPMENT STARTED IMMEDIATE REGISTRY POSSESSION & MUTATION 
 
Mansarovar park is connected with 2 national highway namely nh 91 & 24 which provide direct connectivity to the township .Proposed metro station school hospiltal less then 1 km wide main road 
5 km from railway station 
4 km from bus station more then 50 institute like IT .
Adjoining all residential colonies & High rise Township of Wave city , Jaipuriya Sare Homes Saamag , Aditya World city etc More About This Property 648 Square feet Plot for sale in Girdharpur Sunarasi, Ghaziabad. This land has a dimension of 18.0 mt length 36.0 mt width. Price. The name of the project is Aarvanss Modern Heights. The plot is East facing. There are 1 open sides for this plot. The width of the facing road is 18.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 4. The most popular landmarks near this plot are Shree Ji Unitech Co., Sunrise Academy, and Merry Child International School",1,east,0,4,1,0,1,1,1,0,1.0,,1,0,1.0,1,1,7.4,7.7,123.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,
Chhapraula,420,1230000,INR,1,1,0,"This plot is available for sale and is located in Prithvi Associates Noida Greens, one of the most prestigious projects of Chhapraula. It has an area of 420 sqft. The property is available at a price of Rs. 12.30 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,421,1145000,INR,1,1,0,"A plot is available for sale in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has an area of 421 sqft. The property is available at a price of Rs. 11.45 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,876,1425000,INR,1,1,0,"This plot is available for sale and is located in Prithvi Associates Noida Greens, one of the most prestigious projects of Chhapraula. It has an area of 876 sqft and is priced at Rs. 14.25 lac . It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,450,1250000,INR,1,1,0,"This plot is available for sale and is located in Prithvi Associates Noida Greens, one of the most prestigious projects of Chhapraula. It has a salable area of 450 sqft and is available at a price of Rs. 2,777 per sqft. It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,400,1200000,INR,1,1,0,"This plot is available for sale and is located in Prithvi Associates Noida Greens, one of the most prestigious projects of Chhapraula. It has an area of 400 sqft and is priced at Rs. 12.00 lac . Its entry is east facing. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,435,1020000,INR,1,1,0,"A plot property is available for sale in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has a salable area of 435 sqft and is available at a price of Rs. 2,344 per sqft. It is southwest facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,southwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Nyay Khand,1940,15800000,INR,1,0,0,"This plot is available for sale and is located in the heart of Nyay Khand. It has an area of 1940 sqft. The property is available at a price of Rs. 1.58 cr . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,9.2,,,,,,,,,,,,,
Shakti Khand,2380,26000000,INR,1,0,0,"This plot is situated in Shakti Khand, Ghaziabad. It has an area of 2380 sqft and is priced at Rs. 2.60 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,9.3,,,,,,,,,,,,,
Niti Khand,1210,14500000,INR,0,0,0,"It has an area of 1210 sqft and is priced at Rs. 1.45 cr . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,9.3,,,,,,,,,,,,,
Niti Khand,3500,70000000,INR,0,0,0,"This plot is situated in Niti Khand. It has an area of 3500 sqft and is priced at Rs. 7.00 cr . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,9.3,,,,,,,,,,,,,
Shakti Khand,900,10499400,INR,1,0,0,"A plot property is available for sale in Shakti Khand, Ghaziabad. It has an area of 900 sqft and is priced at Rs. 1.05 cr . It is facing east direction. The society is well connected by different modes of transportation. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,9.3,,,,,,,,,,,,,
Gyan Khand,2380,25800000,INR,1,0,0,"It has a salable area of 2380 sqft and is available at a price of Rs. 10,840 per sqft. It is facing southwest direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,southwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,9.5,,,,,,,,,,,,,
Sector 7 Vaishali,3510,45000000,INR,0,0,0,"A plot is available for sale in Ramprastha Greens, Sector 7 Vaishali, Ghaziabad. It has an area of 3510 sqft. The property is available at a price of Rs. 4.50 cr . It is southeast facing property. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,southeast,0,0,1,1,1,1,1,1,,,1,0,1.0,1,1,9.7,,62.0,,,1.0,,,1.0,,1.0,,,
Lal Kuan,540,1989900,INR,1,1,0,"This plot is situated in Sundaram Construction SHRI NATH JI HOMES, Lal Kuan, Ghaziabad. It has a salable area of 540 sqft and is available at a price of Rs. 3,685 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,,0,1,0,0,0,0,0,0,,,0,0,,0,0,7.4,,,,,,,,,,,,,
Lal Kuan,369,1360134,INR,1,1,0,"A plot is available at a prime location in Sundaram Construction SHRI NATH JI HOMES. It has an area of 369 sqft and is priced at Rs. 13.60 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,,0,1,0,0,0,0,0,0,,,0,0,,0,0,7.4,,,,,,,,,,,,,
Lal Kuan,450,1660050,INR,1,1,0,"A plot is available at a prime location in Sundaram Construction SHRI NATH JI HOMES. It has an area of 450 sqft. The property is available at a price of Rs. 16.60 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,,0,1,0,0,0,0,0,0,,,0,0,,0,0,7.4,,,,,,,,,,,,,
