,location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Swimming Pool,Jogging Track,Landscaped Gardens,Sports Facility,Gymnasium,locality_score,project_score,builder_experience,Indoor Games,Rain Water Harvesting,Intercom,Maintenance Staff,Vaastu Compliant,Car Parking,Shopping Mall,Multipurpose Room,ATM,Staff Quarter,Hospital,School,Cafeteria,Golf Course
10,Indira Nagar,1400.0,3600000.0,INR,,1.0,1.0,It has a built-up area of 1400 sqft and is priced at Rs. 36.00 lac (negotiable). It is a semi-furnished property. It is facing east direction. The property is available on freehold. The society is well connected by different modes of transportation. ,1.0,east,0.0,4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,8.6,8.5,123.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,
11,Jankipuram,1000.0,5300000.0,INR,,1.0,1.0,"A spacious 2 bhk builder floor is available for sale in Jankipuram, Lucknow. It has a built-up area of 1000 sqft and is priced at Rs. 53.00 lac (negotiable). The property has 2 bathrooms and 2 balconies. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1.0,east,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,,,,,,,,1.0,,,,,,,,
12,Lalbagh,1400.0,6500000.0,INR,,0.0,1.0,"It’s a 3 bhk builder floor situated in Lalbagh. It is a semi-furnished property. It’s on 2nd floor out of 4 floors building. It has 24 x 7 security as well as lift available. The project also has car parking. Its main door is facing west direction. The property is available on freehold. The property has 2 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is well connected to the city areas. If you are interested, please contact us for more details. ",1.0,west,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
13,Bharwara Crossing Road,920.0,4400000.0,INR,,1.0,1.0,Well designed 3 bhk builder floor is available at a prime location in Bharwara Crossing Road. It has a built-up area of 920 sqft and is priced at Rs. 44.00 lac (negotiable). It is on the 1st floor of the building (total number of floors are 2). The property has 3 bathrooms and 2 balconies. It is a ready-to-move-in property. It is situated in the proximity of all the important facilities. Kindly call us for details. ,1.0,,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
14,Jankipuram Extension,1000.0,5300000.0,INR,,1.0,1.0,"A spacious 2 bhk builder floor is available for sale in Jankipuram Extension, Lucknow. It has an area of 1000 sqft with a carpet area of 980 sqft . The property is available at a price of Rs. 53.00 lac (negotiable ). It is a semi-furnished property. It has 1 wardrobe, 1 tv, 1 refrigerator and 1 sofa. It also has 1 dining table, 1 ac and 1 bed. The property provides an excellent view as it overlooks the road. The property is available on freehold. It has 2 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact for more details. ",1.0,east,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,,
15,Faizabad Road,990.0,1999000.0,INR,,1.0,1.0,ready to move in in in residential flats are available at Max Miracle homes on faizabad road lucknow with 85% bank loan facility available from government banks.,1.0,northeast,0.0,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,
16,Sushant Golf City,1000.0,800000.0,INR,,1.0,1.0,"Well designed 3 bhk builder floor is available at a prime location in Lucknow Heights Infra Dream Valley. The house is unfurnished. It has rain water harvesting as well as club house. The project also has gymnasium, power backup, staff quarter, children's play area, 24 x 7 security, car parking, sports facility and jogging track. The property has 4 bathrooms and 4 balconies. It is a 5 year old ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas. Kindly call us for details. ",1.0,,0.0,5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,7.4,8.2,123.0,,1.0,,,,1.0,,,,1.0,,,,
17,Sarvodaya Nagar,1090.0,4750000.0,INR,,1.0,1.0,It’s a 2 bhk builder floor situated in Sarvodaya Nagar. It has an area of 1090 sqft with a carpet area of 900 sqft . The property is available at a price of Rs. 47.50 lac (negotiable ). The house is semi-furnished. It’s on 3rd floor out of 4 floors building. It is facing east direction. It has 2 bathrooms and 1 balcony. This residential property is ready-to-move-in. Contact us for more details. ,1.0,east,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
18,Deva Road,1100.0,3800000.0,INR,,1.0,1.0,"This spacious 2 bhk builder floor is available for sale and is located in the heart of Deva Road. It has a salable area of 1100 sqft and is available at a price of Rs. 3,454 per sqft. It is a semi-furnished property. It has 1 wardrobe, 1 refrigerator, 1 dining table and 1 ac. It also has 1 bed. The property provides an excellent view as it overlooks the road. The property is available on freehold. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1.0,east,0.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,,
19,Fazullaganj,1000.0,3600000.0,INR,,1.0,1.0,"A 2 bhk property is available for sale in Fazullaganj, Lucknow. It has an area of 1000 sqft with a carpet area of 980 sqft . The property is available at a price of Rs. 36.00 lac (negotiable ). It has 1 wardrobe, 1 tv, 1 refrigerator and 1 sofa. It also has 1 ac and 1 bed. It has 2 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. ",1.0,east,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,,
20,Sushant Golf City,1000.0,800000.0,INR,,1.0,1.0,"This spacious 2 bhk builder floor is available for sale and is located in Lucknow Heights Infra Dream Valley, one of the most prestigious projects of Sushant Golf City. It is an unfurnished property. It has gymnasium as well as club house. The project also has 24 x 7 security, children's play area, car parking, sports facility, staff quarter, jogging track, rain water harvesting and power backup. It is a garden facing property. It has 1 bathroom and 5 balconies. It is a ready-to-move-in property. The society is well connected by different modes of transportation. Please contact for more details. ",1.0,,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,7.4,8.2,123.0,,1.0,,,,1.0,,,,1.0,,,,
21,Sushant Golf City,1000.0,1450000.0,INR,,1.0,1.0,"It’s a 1 bhk builder floor situated in Lucknow Heights Infra Dream Valley, Sushant Golf City. It has an area of 1000 sqft with a carpet area of 5 sqft . The property is available at a price of Rs. 14.50 lac (negotiable ). It is an unfurnished property. It is on the ground floor of the building (total number of floors are 2). It is west facing property. It has 4 bathrooms and 2 balconies. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1.0,west,0.0,5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,7.4,8.2,123.0,,1.0,,,,1.0,,,,1.0,,,,
22,Aliganj,1600.0,8000000.0,INR,,0.0,0.0,This spacious 3 bhk builder floor is available for sale and is located in the heart of Aliganj. It has a built-up area of 1600 sqft and is priced at Rs. 80.00 lac . The house is furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Contact us for more details. ,1.0,,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,,,,,,,,,,,,,,,,
23,Gomti Nagar,1058.0,5850000.0,INR,,1.0,1.0,"It’s a 3 bhk builder floor situated in IBIS Zam Enclave, Gomti Nagar, Lucknow. It has a salable area of 1058 sqft and is available at a price of Rs. 5,529 per sqft. It is an unfurnished property. The property is available on freehold. It is a 2 year old ready-to-move-in property. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1.0,east,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,4.0,123.0,,,,,,1.0,,,,,,,,
24,Mohanlalganj,1014.0,4800000.0,INR,,0.0,0.0,"It’s a 2 bhk builder floor situated in Omaxe Limited Metro City, Mohanlalganj. It has a built-up area of 1014 sqft and is priced at Rs. 48.00 lac . It is a furnished property. This residential complex is under-construction as of now. The expected completion date is 31/12/2024. It is well connected to the city areas. If you are interested, please contact us for more details. ",1.0,,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.3,,35.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
25,Jankipuram,1000.0,999000.0,INR,1.0,1.0,1.0,"It’s a 4 bhk builder floor situated in IBIS Jankipuram Villas, Jankipuram, Lucknow. It has an area of 1000 sqft . The property is available at a price of Rs. 9.99 lac (negotiable ). The house is unfurnished. It is east facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1.0,east,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,,123.0,,,,,,,,,,,,,,
26,Kanpur Lucknow Road,1000.0,3500000.0,INR,,1.0,1.0,"It has a built-up area of 1000 sqft and is priced at Rs. 35.00 lac (negotiable). The house is semi-furnished. It has 2 bathrooms and 2 balconies. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. ",1.0,east,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,,
27,Sushant Golf City,1500.0,2000000.0,INR,,1.0,1.0,"A 2 bhk property is available for sale in Lucknow Heights Infra Dream Valley, Sushant Golf City, Lucknow. It has an area of 1500 sqft with a carpet area of 1450 sqft . The property is available at a price of Rs. 20.00 lac (negotiable ). The house is semi-furnished. It is located on the ground floor(out of a total of 2 floor(s)). It is facing east direction. The property is available on freehold. It has 2 bathrooms and 1 balcony. It is a 5 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1.0,east,0.0,4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.4,8.2,123.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,
28,amar shaheed path lucknow,1750.0,5200000.0,INR,,1.0,1.0,"Well designed 3 bhk builder floor is available at a prime location in amar shaheed path lucknow. It has 2 bathrooms and 2 balconies. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1.0,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
29,Indira Nagar,1250.0,3600000.0,INR,,1.0,1.0,"•	Vitrified tiles in drawing and bedroom, Anti skid tiles in bathrooms and balconies.
•	Finished walls & ceiling in OBD with putty in drawing room with pleasing shades.
•	Outer doors & windows with finest quality of wood and good quality hardware fittings.",1.0,east,1.0,8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,8.6,8.5,123.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,
30,Gomti Nagar Extension,3266.0,17875000.0,INR,,1.0,0.0,"It has an area of 3266 sqft with a carpet area of 1936 sqft . The property is available at a price of Rs. 1.79 cr . It is a semi-furnished property. It’s on 8th floor out of 17 floors building. It has landscaped gardens as well as intercom. The project also has lift available, cafeteria, jogging track, multipurpose room, gymnasium, swimming pool, children's play area and 24 x 7 security. It is north facing property. It has 5 bathrooms and 4 balconies. It is an under-construction property and is expected to get completed by 15/03/2021. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Please contact for more details. ",1.0,north,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,8.0,123.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,
31,Ruchi Khand 1,1200.0,6000000.0,INR,,0.0,0.0,"It has an area of 1200 sqft with a carpet area of 600 sqft . The property is available at a price of Rs. 60.00 lac . It is an unfurnished property. It’s on 1st floor out of 2 floors building. It is northeast facing property. This residential property is ready-to-move-in. It is well connected to the city areas. If you are interested, please contact us for more details. ",1.0,northeast,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
32,Mohanlalganj,1000.0,1400000.0,INR,0.0,1.0,1.0,"Well designed 1 bhk builder floor is available at a prime location in Sahu Buildwell Pvt Ltd Sahu Buildwell. The house is unfurnished. The property provides an excellent view as it overlooks the road. The property is available on freehold. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1.0,west,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,,,,,,,,,,,,,,,,
33,Hardoi Road,450.0,1200000.0,INR,,1.0,1.0,"It’s a 1 bhk builder floor situated in Hardoi Road, Lucknow. It has a built-up area of 450 sqft and is priced at Rs. 12.00 lac (negotiable). The house is semi-furnished. It is located on the 1st floor(out of a total of 2 floor(s)). It is facing east direction. It has 1 bathroom and 1 balcony. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact us for more details. ",1.0,east,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
34,Babu Banarasi Das National Institute of Technology Management BBD,650.0,3000000.0,INR,,1.0,1.0,"It’s a 2 bhk builder floor situated in Babu Banarasi Das National Institute of Technology Management BBD. It has an area of 650 sqft with a carpet area of 450 sqft . The property is available at a price of Rs. 30.00 lac (negotiable ). It is a semi-furnished property. It has 1 bathroom and 1 balcony. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1.0,,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
35,Kursi Road,1400.0,3600000.0,INR,,1.0,1.0,"It’s a 2 bhk builder floor situated in Kursi Road, Lucknow. It has a salable area of 1400 sqft and is available at a price of Rs. 2,571 per sqft. The house is semi-furnished. Furnishings include 1 wardrobe, 1 refrigerator, 1 sofa, 1 dining table, 1 ac and 1 bed. It is a road facing property. It has 2 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1.0,east,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,,
36,Jankipuram,950.0,1899000.0,INR,,1.0,0.0,"A 2 bhk property is available for sale in Awadhpuram, Jankipuram, Lucknow. It has a salable area of 950 sqft and is available at a price of Rs. 1,998 per sqft. It is a semi-furnished property. It is located on the ground floor(out of a total of 2 floor(s)). One of the major USPs of the property is that it is a road facing property. The property is in a complex owned by a co-operative society. It has 2 bathrooms and 1 balcony. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas. If you are interested, please contact us for more details. ",1.0,east,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,,123.0,,,,,,1.0,,,,,,,,
37,Faizabad Road,1265.0,4000000.0,INR,,1.0,1.0,"This spacious 2 bhk builder floor is available for sale and is located in Grah Builders And Developers Enclave Phase 3, one of the most prestigious projects of Faizabad Road. It has a salable area of 1265 sqft and is available at a price of Rs. 3,162 per sqft. The house is unfurnished. It’s on ground floor out of 2 floors building. It is northwest facing property. The property has 2 bathrooms and 1 balcony. It is a 2 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. Contact us for more details. ",1.0,northwest,0.0,3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,,,123.0,,1.0,,,1.0,1.0,1.0,,,,,,,
38,Jankipuram,1200.0,4500000.0,INR,,1.0,1.0,"•	Vitrified tiles in drawing and bedroom, Anti skid tiles in bathrooms and balconies.
•	Finished walls & ceiling in OBD with putty in drawing room with pleasing shades.
•	Outer doors & windows with finest quality of wood and good quality hardware fittings.",1.0,east,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,,123.0,,,,,,,,,,,,,,
39,LDA Colony,1000.0,4000000.0,INR,,0.0,0.0,"Very near to CMS school and Krishna Nagar Metro station, walking distance, close to all amenities mall, atm, convence...rooms are very airy and spacious , it's on ground floor with park",1.0,west,0.0,6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,,,,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,
40,Alambagh,1265.0,5159000.0,INR,,1.0,1.0,"This spacious 2 bhk builder floor is available for sale and is located in Sri Sai Infratech Basera, one of the most prestigious projects of Alambagh. The house is semi-furnished. It is on the ground floor of the building (total number of floors are 3). It has full power backup as well as children's play area. The project also has 24 x 7 security, car parking and cctv. It is a road facing property. The property is available on freehold. It has 2 bathrooms and 1 balcony. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Please contact for more details. ",1.0,east,0.0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,,
41,Alambagh,1095.0,4490000.0,INR,,1.0,1.0,"Well designed 2 bhk builder floor is available at a prime location in Sri Sai Infratech Basera. The house is semi-furnished. It has children's play area. Other amenities include cctv, full power backup, 24 x 7 security and car parking. It is facing east direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Contact us for more details. ",1.0,east,0.0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,,
42,Indira Nagar,1250.0,3400000.0,INR,,1.0,1.0," Vitrified tiles in drawing and bedroom, Anti skid tiles in bathrooms and balconies. • Finished walls & ceiling in OBD with putty in drawing room with pleasing shades. • Outer doors & windows with finest quality of wood and good quality hardware fittings",1.0,east,0.0,4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,8.6,8.5,123.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,
43,Bijnaur Road,1300.0,9500000.0,INR,,0.0,1.0,"A spacious 3 bhk builder floor is available for sale in Bijnaur Road, Lucknow. It has an area of 1300 sqft with a carpet area of 1000 sqft . The property is available at a price of Rs. 95.00 lac (negotiable ). It is a semi-furnished property. It is located on the 1st floor(out of a total of 3 floor(s)). Its main door is facing west direction. The property is available on freehold. The property has 3 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. Contact us for more details. ",1.0,west,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
44,Viram Khand 5,1000.0,10950000.0,INR,,0.0,0.0,"Address: Jivan Plaza, Shaheed Path, Gomtinagar, Husadiya Chauraha, Viramkhand 5, Lucknow., Gomtinagar, Lucknow, U P
Property on first floor of complex. Complex at husadiya chauraha(Chandrashekhar azad chowk).
4 shops in one, 2-2 opposite each other(See map), connected.
Wide passage corridor both the sides.
Corner shops with stairs both the sides.
Front is facing shaheed path, husadiya chauraha, (Property best for showroom and offices), commercial place.


False ceiling and granite tiles on floor with skirting.
All led light setup by philips.


Plaza has cafeterias, gym, coaching institute.
Nearby places- Mr brown bakery, jaipuria school and college, husadiya chauraha, stadium, pallassio, lulu mall 6 kms. Gomtinagar railway station 3km, hospital and banks at 50 meters, atm in plaza. Supermarket store beside property.


Property has road connectivity on all sides and is situated at entrance of a posh colony with parks in front and back of property.


Lots of parking space on all sides of property.


Property since on 1st floor- Is visible from chauraha, hence good
Advertising space.",1.0,,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
45,Indira Nagar,1250.0,3400000.0,INR,,1.0,1.0," Vitrified tiles in drawing and bedroom, Anti skid tiles in bathrooms and balconies. • Finished walls & ceiling in OBD with putty in drawing room with pleasing shades. • Outer doors & windows with finest quality of wood and good quality hardware fittings",1.0,east,0.0,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,8.6,8.5,123.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,
46,Sitapur Road,402.0,900000.0,INR,,1.0,1.0,It’s a 1 bhk builder floor situated in Sitapur Road. It’s on 1st floor out of 2 floors building. It is north facing property. The property is available on freehold. It has 1 bathroom and 1 balcony. Kindly call us for details. ,1.0,north,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,1.0,1.0,1.0,,,,,1.0,,,
47,Nawabganj,1000.0,3500000.0,INR,,1.0,0.0,"•	Vitrified tiles in drawing and bedroom, Anti skid tiles in bathrooms and balconies.
•	Finished walls & ceiling in OBD with putty in drawing room with pleasing shades.
•	Outer doors & windows with finest quality of wood and good quality hardware fittings. Vitrified tiles in drawing and bedroom, Anti skid tiles in",1.0,east,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,123.0,,,,,,1.0,,,,,,,,
48,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Sarojini Nagar,855.0,5300000.0,INR,,0.0,0.0,The house is furnished. It is east facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. ,1.0,east,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,,
50,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Ashiyana Colony,400.0,2500000.0,INR,1.0,0.0,1.0,"It has a built-up area of 400 sqft and is priced at Rs. 25.00 lac (negotiable). It is an unfurnished property. It is on the ground floor of the building (total number of floors are 2). It is east facing property. It is a 20 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1.0,east,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
