location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,locality_score,project_score,builder_experience,Gymnasium,24 X 7 Security,Swimming Pool,Lift(s),Jogging Track,Club House,Landscaped Gardens,Rain Water Harvesting,Sports Facility,Car Parking,Children's play area,Full Power Backup,Vaastu Compliant,Indoor Games,Intercom,Maintenance Staff,Shopping Mall,Cafeteria,ATM,Multipurpose Room,School,Hospital,Golf Course,Staff Quarter
Mohanlalganj,2020,5900000,INR,,1,0,"A spacious 3 bhk villa is available for sale in Omaxe Limited Metro City, Mohanlalganj, Lucknow. It has a built-up area of 2020 sqft and is priced at Rs. 59.00 lac . The house is semi-furnished. It has cctv. Other amenities include children's play area and gated community. It is west facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Kindly call us for details. ",1,west,0,0,6.3,,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
Jankipuram,680,2750000,INR,1,1,0,"It’s a 2 bhk villa situated in Hira Infra Group City, Jankipuram, Lucknow. The house is unfurnished. It has car parking as well as internal roads. The project also has cctv, 24x7 water supply and gated community. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. Contact us for more details. ",1,,0,0,8.4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinhat,1250,5100000,INR,,1,0,It’s a 2 bhk villa situated in Chinhat. It has an area of 1250 sqft with a carpet area of 1000 sqft . The property is available at a price of Rs. 51.00 lac . It is a semi-furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact us for more details. ,1,,0,0,7.7,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Vrindavan Yojna,1900,6080000,INR,,1,0,"A 4 bhk property is available for sale in Aarya Group Lucknow Blossom Villas, Vrindavan Yojna, Lucknow. It has a salable area of 1900 sqft and is available at a price of Rs. 3,200 per sqft. It is a semi-furnished property. It is facing north direction. It is made in way to provide a comfortable living. ",1,north,0,0,8.1,,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,1.0,1.0,,,1.0,,,,,,,,,
Nijampur Malhaur,1350,6175000,INR,1,1,0,"A 2 bhk property is available for sale in Nijampur Malhaur, Lucknow. It has a built-up area of 1350 sqft and is priced at Rs. 61.75 lac . It is facing east direction. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,east,0,4,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,1.0,,,,,,,,,
Kalyanpur,1350,5795000,INR,,1,0,"A spacious 2 bhk villa is available for sale in Kalyanpur, Lucknow. It has a built-up area of 1350 sqft and is priced at Rs. 57.95 lac . The house is unfurnished. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Golf City,1560,7500000,INR,1,1,0,The house is unfurnished. It has full power backup. Other amenities include 24x7 water supply and fire sprinklers. This residential property is ready-to-move-in. It is situated in the proximity of all the important facilities. Contact us for more details. ,1,,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,,,,,,,,,,
Neel Matha,1500,6900000,INR,1,1,0,"Well designed 3 bhk villa is available at a prime location in Yash Builders Neel Matha Residency. It has a built-up area of 1500 sqft and is priced at Rs. 69.00 lac . The house is unfurnished. It has 24_x_7_security. Other amenities include full power backup, 24x7 water supply, fire sprinklers and gated_community. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,,0,0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,,,,,,,,,,
Sarojini Nagar,1295,3200000,INR,,1,0,"It’s a 3 bhk villa situated in Sarojini Nagar, Lucknow. The house is furnished. It is facing east direction. It is a ready-to-move-in property. The society is well connected by different modes of transportation. Kindly call us for details. ",1,east,1,0,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,,
Alambagh,1265,4807000,INR,1,1,0,"This spacious 2 bhk villa is available for sale and is located in Sri Sai Infratech Basera, one of the most prestigious projects of Alambagh. It has an area of 1265 sqft . The property is available at a price of Rs. 48.07 lac . The house is unfurnished. It has children's play area. Other amenities include gated community, landscape garden and tree planting, full power backup, car parking, sewage treatment plant, grocery shop, 24 x 7 security and cctv. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,,0,1,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,,,,,,,,,,,,
Arjunganj,1000,5500000,INR,0,1,0,"A spacious 3 bhk villa is available for sale in Arjunganj, Lucknow. It has a salable area of 1000 sqft and is available at a price of Rs. 5,500 per sqft. Its main door is facing east direction. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,east,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,1.0,,,,,,,,,,,,
Mastemau,5100,30000000,INR,,1,0,"This spacious 4 bhk villa is available for sale and is located in Chinmay Developers Lucknow Urbanac Garden, one of the most prestigious projects of Mastemau. It has a built-up area of 5100 sqft and is priced at Rs. 3.00 cr . It is a semi-furnished property. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,east,0,0,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,,
Alambagh,1265,5310000,INR,,1,0,Well designed 2 bhk villa is available at a prime location in Alambagh. It has a built-up area of 1265 sqft and is priced at Rs. 53.10 lac . The house is furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. Kindly call us for details. ,1,,1,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Gosainganj,709,3029642,INR,0,1,0,"A spacious 4 bhk villa is available for sale in Halwasiya and Sons Shivlar Sambandh Phase 1, Gosainganj, Lucknow. It has a salable area of 709 sqft and is available at a price of Rs. 4,272 per sqft. It is an unfurnished property. It has 24x7 water supply as well as landscaped gardens. The project also has table tennis, basketball court, gated community, fire sprinklers, sewage treatment plant, grocery shop, badminton court and solid waste management and disposal. It is an under-construction property and is expected to get completed by 31/03/2025. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,,0,0,6.3,,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,
Bakkas,1378,7000000,INR,,1,0,"A 3 bhk property is available for sale in Sanfran Developer Estate, Bakkas, Lucknow. It has a salable area of 1378 sqft and is available at a price of Rs. 5,079 per sqft. The house is unfurnished. It has cctv. Other amenities include gymnasium, gated community, swimming pool and children's play area. Its main door is facing east direction. This residential complex is under-construction as of now. The expected completion date is 01/09/2024. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,east,0,0,,,2022.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,
Mati Village,1100,3630000,INR,,1,0,"It’s a 2 bhk villa situated in Mati Village. It is a semi-furnished property. It is an under-construction property . It is made in way to provide a comfortable living for the residents. If you are interested, please contact us for more details. ",1,,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Gomti Nagar,800,3600000,INR,,1,0,It’s a 3 bhk villa situated in Gomti Nagar. It has a built-up area of 800 sqft and is priced at Rs. 36.00 lac . It is an unfurnished property. This residential complex is under-construction as of now. . It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact for more details. ,1,,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Gomti Nagar Extension,4050,32501250,INR,0,1,0,"It’s a 4 bhk villa situated in Shalimar Corp Valencia County, Gomti Nagar Extension, Lucknow. It has an area of 4050 sqft . The property is available at a price of Rs. 3.25 cr . It is an unfurnished property. It has internal roads. Other amenities include gated community, fire fighting system, internet/wi-fi, electrical meter room, sub-station, receiving station, intercom, indoor games, sewage treatment plant, visitor parking and senior citizen siteout. It is an under-construction property and is expected to get completed by 31/08/2023. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",1,,0,0,,,37.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,
Alambagh,5000,51150000,INR,1,0,0,It has an area of 5000 sqft . The property is available at a price of Rs. 5.11 cr . Its main door is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Please contact us for more details. ,1,northeast,1,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,,,,,,,,,,
Golf City,1503,7000000,INR,,1,0,"A spacious 3 bhk villa is available for sale in Golf City, Lucknow. It has an area of 1503 sqft with a carpet area of 1400 sqft . The property is available at a price of Rs. 70.00 lac . It is a semi-furnished property. Its main door is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,east,0,4,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Nijampur Malhaur,1650,6200000,INR,,1,0,"This spacious 3 bhk villa is available for sale and is located in Lucknow Fields Empire Empire Villa, one of the most prestigious projects of Nijampur Malhaur. It has an area of 1650 sqft with a carpet area of 1080 sqft . The property is available at a price of Rs. 62.00 lac . The house is unfurnished. This residential property is ready-to-move-in. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,northeast,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Gomti Nagar,2200,12760000,INR,1,1,0,"A 4 bhk property is available for sale in Spring Developers Garden, Gomti Nagar, Lucknow. It has a built-up area of 2200 sqft and is priced at Rs. 1.28 cr . The house is unfurnished. It has solid waste management and disposal. Other amenities include bar/chill-out lounge, yoga/meditation area, children's play area, billiards/snooker table, multipurpose room, fountains, car parking, billiards/snooker table and cctv. It is a 2 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,,0,2,8.5,,123.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,1.0,,,,
Bakhshi Ka Talab,1515,9900525,INR,0,1,0,"It’s a 3 bhk villa situated in Oro Real Infra Oro County, Bakhshi Ka Talab, Lucknow. It has an area of 1515 sqft . The property is available at a price of Rs. 99.01 lac . The house is unfurnished. It is an under-construction property and is expected to get completed by 31/12/2026. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Kindly call us for details. ",1,,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,,,,,,,,,,
Matiyari,1100,6200000,INR,0,1,0,"It’s a 3 bhk villa situated in Matiyari, Lucknow. It has a built-up area of 1100 sqft and is priced at Rs. 62.00 lac . It is a semi-furnished property. It is east facing property. This residential complex is under-construction as of now. . It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Please contact for more details. ",1,east,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Jankipuram Extension,1250,4500000,INR,,1,0,"It has a salable area of 1250 sqft and is available at a price of Rs. 3,600 per sqft. The house is unfurnished. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",1,,0,6,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Aliganj,5000,42500000,INR,,0,0,"5 BHK Villa for sale in Aliganj, Lucknow with modern-day amenities. The Villa is in Aliganj which is a promising investment destination in Lucknow. This might be your chance to grab the best 5 BHK property for sale in Aliganj. It is a very spacious property, spread over 3200 Square feet. The built-up area is 5000 Square feet. This property has provision for 6 bathroom. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like Psychiatrist, Dr. Malaya Kant Singh, Dr.Malaya Kant Singh, and Vivekananda Polyclinic and Institute of Medical Sciences. The city's best schools like IIM Lucknow City Office, Kendriya Vidyalaya, and Computer Informatics Center are also near this housing project",1,,1,0,9.1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Faizabad Road,1000,5000000,INR,1,1,0,"Well designed 3 bhk villa is available at a prime location in Grah Builders And Developers Enclave Phase 6. It has an area of 1000 sqft . The property is available at a price of Rs. 50.00 lac . It is an unfurnished property. It has school as well as gated community. The project also has temple, hospital, landscape garden and tree planting and 24 x 7 security. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,,0,0,,,123.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1.0,,,1.0,,,,,1.0,1.0,,
Omaxe City,2107,7300000,INR,,1,0,"A spacious 3 bhk villa is available for sale in Omaxe City, Lucknow. It has a salable area of 2107 sqft and is available at a price of Rs. 3,464 per sqft. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,,1,5,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Sarojini Nagar,850,2400000,INR,,1,0,"Well designed 1 bhk villa is available at a prime location in Sarojini Nagar. It has a salable area of 850 sqft and is available at a price of Rs. 2,823 per sqft. It is a semi-furnished property. It is east facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,east,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,1.0,,,1.0,,,,,,,,,
Gomti Nagar,1100,4800000,INR,,1,0,"A 2 bhk property is available for sale in Gomti Nagar, Lucknow. It has an area of 1100 sqft with a carpet area of 1000 sqft . The property is available at a price of Rs. 48.00 lac . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Contact us for more details. ",1,,0,0,8.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarojini Nagar,500,2250000,INR,1,1,0,"It’s a 1 bhk villa situated in Swarnima Infratech Aasra Gold, Sarojini Nagar. It has an area of 500 sqft . The property is available at a price of Rs. 22.50 lac . It is an unfurnished property. It has cycling & jogging track. Other amenities include shopping mall, 24 x 7 security, cctv, internal roads, gated community, landscape garden and tree planting, gymnasium, street lighting and storm water drains. It is a ready-to-move-in property. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,,0,0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1.0,,,,1.0,,,,,,,
Jankipuram Extension,1000,3800000,INR,1,1,0,"It’s a 2 bhk villa situated in Vasundhara Lucknow R S Homes, Jankipuram Extension. It has a built-up area of 1000 sqft and is priced at Rs. 38.00 lac . It is an unfurnished property. It has party lawn as well as full power backup. The project also has cctv, party hall, visitor parking, closed car parking, intercom, street lighting, landscape garden and tree planting and 24 x 7 security. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. If you are interested, please contact us for more details. ",1,,0,0,,,123.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,,,1.0,,,,,,,,,
Kalyanpur,1300,5800000,INR,,1,0,Well designed 2 bhk villa is available at a prime location in Kalyanpur. It has a built-up area of 1300 sqft and is priced at Rs. 58.00 lac . It is an unfurnished property. Its main door is facing west direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Please contact us for more details. ,1,west,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
Sarojini Nagar,1530,3700000,INR,1,1,0,"A 3 bhk property is available for sale in Sarojini Nagar, Lucknow. It has a salable area of 1530 sqft and is available at a price of Rs. 2,418 per sqft. The house is furnished. It is east facing property. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. ",1,east,1,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,1.0,,,1.0,,,,,,,,,
Arjunganj,1378,8000000,INR,0,1,0,"This spacious 3 bhk villa is available for sale and is located in the heart of Arjunganj. It has a built-up area of 1378 sqft and is priced at Rs. 80.00 lac . The house is unfurnished. It is facing northeast direction. This residential complex is under-construction as of now. . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,northeast,0,0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,1.0,,,,,,,,,
Bakhshi Ka Talab,1422,9599922,INR,0,1,0,"A 3 bhk property is available for sale in Oro Real Infra Oro County, Bakhshi Ka Talab, Lucknow. It has a salable area of 1422 sqft and is available at a price of Rs. 6,751 per sqft. It is an unfurnished property. It has fire sprinklers. Other amenities include full power backup and 24x7 water supply. It is an under-construction property and is expected to get completed by 31/12/2026. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,,,,,,,,,,
Bakkas,1439,7500068,INR,0,1,0,"It’s a 2 bhk villa situated in Sapphire Infraventures Royale, Bakkas, Lucknow. It has a salable area of 1439 sqft and is available at a price of Rs. 5,212 per sqft. The house is unfurnished. It has 24 hours water supply. Other amenities include cctv, shopping mall, landscape garden and tree planting, swimming pool, solid waste management and disposal, children's play area, paved compound, school and aggregate area of recreational open space. It is an under-construction property and is expected to get completed by 17/05/2023. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Contact us for more details. ",1,,0,0,,,123.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,,,
Naubasta Kala,1450,3400000,INR,,1,0,This spacious 2 bhk villa is available for sale and is located in the heart of Naubasta Kala. It has a built-up area of 1450 sqft and is priced at Rs. 34.00 lac . It is north facing property. It is a 4 year old ready-to-move-in property. The site is in close proximity to various civic utilities. ,1,north,0,4,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,,,,,,,,,,
Mati,1635,6000000,INR,,1,0,Well designed 3 bhk villa is available at a prime location in Mati. It is a furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Contact us for more details. ,1,,1,2,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,
