location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Car Parking,Rain Water Harvesting,Intercom,Maintenance Staff,Indoor Games,Vaastu Compliant,Multipurpose Room,ATM,Golf Course,Staff Quarter,Hospital,School,Shopping Mall,Cafeteria
Sector 5 Vasundhara,2000,12900000,INR,,1,0,"It’s a 4 bhk builder floor situated in Homes Forever, Sector 5 Vasundhara, Ghaziabad. It has a built-up area of 2000 sqft and is priced at Rs. 1.29 cr . It is a semi-furnished property. It is east facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact us for more details. ",1,east,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,9.1,,2022.0,,,,,,,,,,,,,,
Vasundhara,900,3280000,INR,,1,0,This spacious 2 bhk builder floor is available for sale and is located in the heart of Vasundhara. It has an area of 900 sqft with a carpet area of 850 sqft . The property is available at a price of Rs. 32.80 lac . It is a semi-furnished property. It is northwest facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Contact us for more details. ,1,northwest,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Vasundhara,1500,8850000,INR,,1,0,"A 3 bhk property is available for sale in Vasundhara, Ghaziabad. It has a salable area of 1500 sqft and is available at a price of Rs. 5,900 per sqft. The house is semi-furnished. It is east facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact for more details. ",1,east,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,
Niti Khand,2900,21000000,INR,,1,0,"Well designed 4 bhk builder floor is available at a prime location in Niti Khand. It has a salable area of 2900 sqft and is available at a price of Rs. 7,241 per sqft. The house is semi-furnished. This residential property is ready-to-move-in. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,,,,,,,,,,,,,,,,
Niti Khand,1950,19000000,INR,,1,0,It has an area of 1950 sqft with a carpet area of 1800 sqft . The property is available at a price of Rs. 1.90 cr . It is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact us for more details. ,1,northeast,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,,,,,1.0,,,,,,,,,,,
Niti Khand,550,2500000,INR,,0,0,"Well designed 1 bhk builder floor is available at a prime location in Niti Khand. It has a salable area of 550 sqft and is available at a price of Rs. 4,545 per sqft. The house is semi-furnished. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,east,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,,,,,,,,,,,,,,,,
Vasundhara,1352,7584555,INR,,1,0,It has an area of 1352 sqft with a carpet area of 1258 sqft . The property is available at a price of Rs. 75.85 lac . The house is semi-furnished. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Contact us for more details. ,1,east,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Sector 5 Vasundhara,1450,6800000,INR,,1,0,"This spacious 3 bhk builder floor is available for sale and is located in Homes Forever, one of the most prestigious projects of Sector 5 Vasundhara. It has a salable area of 1350 sqft and is available at a price of Rs. 5,037 per sqft. It is east facing property. This residential property is ready-to-move-in. The society is well connected by different modes of transportation. Kindly call us for details. ",1,east,0,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,9.1,,2022.0,,,,,,,,,,,,,,
Indirapuram,1210,6000000,INR,1,0,0,This spacious 3 bhk builder floor is available for sale and is located in the heart of Indirapuram. It is a semi-furnished property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Contact us for more details. ,1,east,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Gyan Khand,1204,8550000,INR,,0,0,"A 3 bhk property is available for sale in Gyan Khand, Ghaziabad. It has an area of 1204 sqft with a carpet area of 1204 sqft . The property is available at a price of Rs. 85.50 lac . It is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Please contact for more details. ",1,northeast,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.5,,,,,,,,,,,,,,,,
Gyan Khand,1204,8500000,INR,,0,0,"Well designed 3 bhk builder floor is available at a prime location in Gyan Khand. It has a salable area of 1204 sqft and is available at a price of Rs. 7,059 per sqft. It is a semi-furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.5,,,,,,,,,,,,,,,,
Gyan Khand,1204,8500000,INR,,0,0,"A spacious 3 bhk builder floor is available for sale in Gyan Khand, Ghaziabad. It has a salable area of 1204 sqft and is available at a price of Rs. 7,059 per sqft. The house is semi-furnished. It is made in way to provide a comfortable living. It is well connected to the city areas. Kindly call us for details. ",1,northeast,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.5,,,,,,,,,,,,,,,,
Gyan Khand,1204,8525000,INR,,0,0,"This spacious 3 bhk builder floor is available for sale and is located in the heart of Gyan Khand. It has a salable area of 1204 sqft and is available at a price of Rs. 7,080 per sqft. It is a semi-furnished property. It is facing northeast direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Contact us for more details. ",1,northeast,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.5,,,,,,,,,,,,,,,,
Niti Khand,895,3900000,INR,,0,0,This spacious 2 bhk builder floor is available for sale and is located in the heart of Niti Khand. It has an area of 895 sqft with a carpet area of 750 sqft . The property is available at a price of Rs. 39.00 lac . The house is semi-furnished. It is a ready-to-move-in property. It is made in way to provide a comfortable living. Kindly call us for details. ,1,west,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,,,,,,,,,,,,,,,,
Vaishali,1400,11500000,INR,,1,0,"A 3 bhk property is available for sale in Vaishali, Ghaziabad. It has an area of 1400 sqft with a carpet area of 1300 sqft . The property is available at a price of Rs. 1.15 cr . It is a semi-furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact for more details. ",1,east,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Gyan Khand,1100,5400000,INR,,1,0,It has a built-up area of 1100 sqft and is priced at Rs. 54.00 lac . It is a semi-furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Please contact us for more details. ,1,east,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,,,,,,,,,,,,,,,,
Vaishali,1350,6900000,INR,,0,0,It’s a 3 bhk builder floor situated in Vaishali. It has an area of 1350 sqft with a carpet area of 1300 sqft . The property is available at a price of Rs. 69.00 lac . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact us for more details. ,1,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Vaishali,1200,7700000,INR,,1,0,"It’s a 3 bhk builder floor situated in Vaishali. It has a salable area of 1200 sqft and is available at a price of Rs. 6,416 per sqft. The house is semi-furnished. It is east facing property. It is a ready-to-move-in property. It is well connected to the city areas. Kindly call us for details. ",1,east,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Niti Khand,1389,6150000,INR,,1,0,"Well designed 3 bhk builder floor is available at a prime location in Niti Khand. It is facing east direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,east,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.3,,,,,,,,,,,,,,,,
Niti Khand,1400,8000000,INR,,1,0,"It has a salable area of 1400 sqft and is available at a price of Rs. 5,714 per sqft. It is a semi-furnished property. Its main door is facing east direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,east,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.3,,,,,,,,,,,,,,,,
Gyan Khand,1389,5875000,INR,,1,0,This spacious 3 bhk builder floor is available for sale and is located in the heart of Gyan Khand. It has a built-up area of 1389 sqft and is priced at Rs. 58.75 lac . The house is semi-furnished. It is east facing property. It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact us for more details. ,1,east,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.5,,,,,,,,,,,,,,,,
Niti Khand,1675,10700000,INR,,1,0,"A spacious 3 bhk builder floor is available for sale in Niti Khand, Ghaziabad. It has a built-up area of 1675 sqft and is priced at Rs. 1.07 cr . It is a semi-furnished property. It is northeast facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Contact us for more details. ",1,northeast,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.3,,,,,,,,,,,,,,,,
Niti Khand,2600,20500000,INR,,1,0,"A 4 bhk property is available for sale in Niti Khand, Ghaziabad. It has a built-up area of 2600 sqft and is priced at Rs. 2.05 cr . It is a furnished property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Contact us for more details. ",1,east,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.3,,,,,1.0,,,,,,,,,,,
Ahinsa Khand,1056,5155000,INR,,1,0,"This spacious 2 bhk builder floor is available for sale and is located in the heart of Ahinsa Khand. It has a salable area of 1056 sqft and is available at a price of Rs. 4,881 per sqft. It is a semi-furnished property. It is facing east direction. It is a 4 year old ready-to-move-in property. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,east,0,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Shakti Khand,2026,10800000,INR,,1,0,"A 4 bhk property is available for sale in Shakti Khand, Ghaziabad. It has a salable area of 2026 sqft and is available at a price of Rs. 5,330 per sqft. The house is semi-furnished. It is facing east direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,east,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.3,,,,,1.0,,,,,,,,,,,
Gyan Khand,950,5500000,INR,,1,0,"It’s a 2 bhk builder floor situated in Gyan Khand, Ghaziabad. It has an area of 950 sqft with a carpet area of 900 sqft . The property is available at a price of Rs. 55.00 lac . It is a semi-furnished property. It is facing east direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact us for more details. ",1,east,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,,,,,1.0,,,,,,,,,,,
Ahinsa Khand,1056,5100000,INR,,1,0,"A 2 bhk property is available for sale in Ahinsa Khand, Ghaziabad. It has an area of 1056 sqft with a carpet area of 850 sqft . The property is available at a price of Rs. 51.00 lac . The house is semi-furnished. It is a 4 year old ready-to-move-in property. It is well connected to the city areas. ",1,east,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,,,,,,,,,,,
Niti Khand,2400,20500000,INR,,1,0,"It’s a 4 bhk builder floor situated in Niti Khand, Ghaziabad. It has a built-up area of 2400 sqft and is priced at Rs. 2.05 cr . It is a semi-furnished property. It is east facing property. It is a ready-to-move-in property. Please contact for more details. ",1,east,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,,,,,1.0,,,,,,,,,,,
Niti Khand,1900,13500000,INR,,1,0,This spacious 4 bhk builder floor is available for sale and is located in the heart of Niti Khand. It has a built-up area of 1900 sqft and is priced at Rs. 1.35 cr . It is a semi-furnished property. Its main door is facing east direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Contact us for more details. ,1,east,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,,,,,1.0,,,,,,,,,,,
Shakti Khand,1300,6900000,INR,,1,0,This spacious 3 bhk builder floor is available for sale and is located in the heart of Shakti Khand. It has a built-up area of 1300 sqft and is priced at Rs. 69.00 lac . It is a semi-furnished property. It is east facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Please contact for more details. ,1,east,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,,,,,1.0,,,,,,,,,,,
Vasundhara,1800,12400000,INR,,1,0,It has a built-up area of 1800 sqft and is priced at Rs. 1.24 cr . It is a semi-furnished property. Its main door is facing west direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas. ,1,west,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Vasundhara,1700,11000000,INR,,1,0,"This spacious 4 bhk builder floor is available for sale and is located in the heart of Vasundhara. It has a built-up area of 1700 sqft and is priced at Rs. 1.10 cr . It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",1,east,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,,,,,,,,,,,
Vasundhara,1900,8900000,INR,,1,0,Well designed 3 bhk builder floor is available at a prime location in Vasundhara. It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Contact us for more details. ,1,east,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,,,,,,,,,,,
Vaishali,1350,6500000,INR,,0,0,The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Kindly call us for details. ,1,west,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Vasundhara,1450,9500000,INR,,0,0,"A spacious 3 bhk builder floor is available for sale in Vasundhara, Ghaziabad. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 washing machine, 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It is east facing property. It is a ready-to-move-in property. The site is in close proximity to various civic utilities. ",1,east,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Vaishali,1300,7200000,INR,,1,0,"A 3 bhk property is available for sale in Vaishali, Ghaziabad. It has a salable area of 1300 sqft and is available at a price of Rs. 5,538 per sqft. The house is semi-furnished. Its main door is facing west direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Kindly call us for details. ",1,west,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Vaishali,1750,12300000,INR,,1,0,It has a built-up area of 1750 sqft and is priced at Rs. 1.23 cr . It is a semi-furnished property. It is east facing property. It is a ready-to-move-in property. Please contact us for more details. ,1,east,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,,,,,,,,,,,
Vasundhara,1350,7400000,INR,,1,0,"It has an area of 1350 sqft with a carpet area of 1250 sqft . The property is available at a price of Rs. 74.00 lac . It is a semi-furnished property. It is west facing property. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. ",1,west,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Vaishali,1350,8000000,INR,,1,0,"It’s a 3 bhk builder floor situated in Vaishali. It has a salable area of 1350 sqft and is available at a price of Rs. 5,925 per sqft. The house is semi-furnished. Its main door is facing west direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Contact us for more details. ",1,west,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,,,,,,,,,,,
Vaishali,950,5400000,INR,,1,0,It’s a 2 bhk builder floor situated in Vaishali. The house is semi-furnished. It is east facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Kindly call us for details. ,1,east,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,,,,,,,,,,,
Vasundhara,850,3975000,INR,,1,0,"It has a salable area of 850 sqft and is available at a price of Rs. 4,676 per sqft. It is east facing property. It is a ready-to-move-in property. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,east,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Vasundhara,900,4050000,INR,,1,0,This spacious 2 bhk builder floor is available for sale and is located in the heart of Vasundhara. It has a built-up area of 900 sqft and is priced at Rs. 40.50 lac . The house is semi-furnished. It is facing east direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Kindly call us for details. ,1,east,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Vasundhara,850,3920000,INR,,1,0,"A 2 bhk property is available for sale in Vasundhara, Ghaziabad. It has a built-up area of 850 sqft and is priced at Rs. 39.20 lac . The house is semi-furnished. Its main door is facing east direction. It is a ready-to-move-in property. The site is in close proximity to various civic utilities. ",1,east,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Vasundhara,1100,4450000,INR,,1,0,This spacious 3 bhk builder floor is available for sale and is located in the heart of Vasundhara. It has an area of 1100 sqft with a carpet area of 1000 sqft . The property is available at a price of Rs. 44.50 lac . It is facing east direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Please contact for more details. ,1,east,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Vasundhara,1200,4925000,INR,,1,0,"It’s a 3 bhk builder floor situated in Vasundhara, Ghaziabad. It has a salable area of 1200 sqft and is available at a price of Rs. 4,104 per sqft. It is a semi-furnished property. It is west facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",1,west,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Vasundhara,1500,8325000,INR,,1,0,Well designed 3 bhk builder floor is available at a prime location in Vasundhara. It has an area of 1500 sqft with a carpet area of 1400 sqft . The property is available at a price of Rs. 83.25 lac . Its main door is facing east direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. ,1,east,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Vasundhara,1250,5475000,INR,,1,0,"It has a salable area of 1250 sqft and is available at a price of Rs. 4,380 per sqft. The house is semi-furnished. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,east,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Vasundhara,1500,7500000,INR,,1,0,"A spacious 3 bhk builder floor is available for sale in Vasundhara, Ghaziabad. The house is semi-furnished. It is facing west direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact for more details. ",1,west,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Vasundhara,1700,8125000,INR,,1,0,"Well designed 3 bhk builder floor is available at a prime location in Vasundhara. It has a salable area of 1700 sqft and is available at a price of Rs. 4,779 per sqft. It is a semi-furnished property. Its main door is facing east direction. It is a ready-to-move-in property. The society is well connected by different modes of transportation. ",1,east,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Vasundhara,1250,6825000,INR,,1,0,"A 3 bhk property is available for sale in Vasundhara, Ghaziabad. It is a semi-furnished property. Its main door is facing east direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. ",1,east,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Niti Khand,1600,10500000,INR,,1,0,This spacious 3 bhk builder floor is available for sale and is located in the heart of Niti Khand. It has a built-up area of 1600 sqft and is priced at Rs. 1.05 cr . The house is semi-furnished. Its main door is facing northeast direction. It is a ready-to-move-in property. The society is well connected by different modes of transportation. ,1,northeast,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,,,,,,,,,,,,,,,,
Niti Khand,1045,3245000,INR,,1,0,"Well designed 2 bhk builder floor is available at a prime location in Niti Khand. It has a salable area of 1045 sqft and is available at a price of Rs. 3,105 per sqft. The house is semi-furnished. It is northeast facing property. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,northeast,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,,,,,,,,,,,,,,,,
Vasundhara,3500,17000000,INR,,1,0,"It’s a 5 bhk builder floor situated in Vasundhara, Ghaziabad. It has a built-up area of 3500 sqft and is priced at Rs. 1.70 cr . Its main door is facing east direction. This residential property is ready-to-move-in. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,east,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Niti Khand,2200,15000000,INR,,1,0,"It’s a 4 bhk builder floor situated in Niti Khand. It has a salable area of 2200 sqft and is available at a price of Rs. 6,818 per sqft. It is a semi-furnished property. Its main door is facing east direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. ",1,east,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,,,,,1.0,,,,,,,,,,,
Niti Khand,2100,13000000,INR,,1,0,"This spacious 4 bhk builder floor is available for sale and is located in the heart of Niti Khand. It has a built-up area of 2100 sqft and is priced at Rs. 1.30 cr . It is a furnished property. It has 1 sofa, 1 sofa, 1 dining table and 1 gas connection. It also has 1 ac and 1 bed. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,northeast,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.3,,,,,1.0,,,,,,,,,,,
Gyan Khand,1700,10800000,INR,,1,0,"A 3 bhk property is available for sale in Gyan Khand, Ghaziabad. It has a built-up area of 1700 sqft and is priced at Rs. 1.08 cr . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. Please contact for more details. ",1,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,,,,,,,,,,,,,,,,
Sector 7 Vaishali,950,5975000,INR,1,0,0,Well designed 2 bhk builder floor is available at a prime location in Pearl Apartments. It has a built-up area of 950 sqft and is priced at Rs. 59.75 lac . The house is semi-furnished. This residential property is ready-to-move-in. The site is in close proximity to various civic utilities. Please contact for more details. ,1,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,,2022.0,,,,,,,,,,,,,,
Sector 7 Vaishali,2400,16500000,INR,1,0,0,It has an area of 2400 sqft . The property is available at a price of Rs. 1.65 cr . It is a furnished property. It is a 14 year old ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact us for more details. ,1,,1,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,9.7,,62.0,1.0,,1.0,,,,1.0,,,,,,,1.0
Indirapuram,1600,10000000,INR,,1,0,"A 3 bhk property is available for sale in Indirapuram, Ghaziabad. It has a salable area of 1600 sqft and is available at a price of Rs. 6,250 per sqft. It is a semi-furnished property. It is northeast facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. Please contact us for more details. ",1,northeast,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,
Indirapuram,968,5731000,INR,,1,0,"A 3 bhk property is available for sale in Indirapuram, Ghaziabad. It has a salable area of 968 sqft and is available at a price of Rs. 5,920 per sqft. It is a semi-furnished property. It is east facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,east,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,
Indirapuram,968,5721000,INR,,1,0,"Well designed 3 bhk builder floor is available at a prime location in Indirapuram. It has an area of 968 sqft with a carpet area of 900 sqft . The property is available at a price of Rs. 57.21 lac . It is a semi-furnished property. It is east facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,east,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,
Indirapuram,2400,19600000,INR,,1,0,This spacious 4 bhk builder floor is available for sale and is located in the heart of Indirapuram. It is a semi-furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Please contact for more details. ,1,east,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,
Indirapuram,2400,19500000,INR,,1,0,"A spacious 4 bhk builder floor is available for sale in Indirapuram, Ghaziabad. It has a salable area of 2400 sqft and is available at a price of Rs. 8,125 per sqft. The house is semi-furnished. It is facing east direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Kindly call us for details. ",1,east,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,
