location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Swimming Pool,Sports Facility,Lift(s),Club House,Full Power Backup,Gymnasium,Rain Water Harvesting,Maintenance Staff,Jogging Track,Car Parking,Vaastu Compliant,Children's play area,24 X 7 Security,Landscaped Gardens,locality_score,project_score,builder_experience,School,ATM,Shopping Mall,Multipurpose Room,Intercom,Staff Quarter,Hospital,Indoor Games,Cafeteria,Golf Course
Mohanlalganj,1000,1000000,INR,1,1,0,"This plot is situated in Mohanlalganj. It has a salable area of 1000 sqft and is available at a price of Rs. 1,000 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,,,0,0,0,6.3,,,,,,,,,,,,
Telibagh,1000,950000,INR,1,1,0,"This plot is situated in Telibagh, Lucknow. It has a salable area of 1000 sqft and is available at a price of Rs. 950 per sqft. It is facing north direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,north,0,0,1,0,0,0,0,1,,,0,,,0,0,0,,,,,,,,,,,,,
Telibagh,800,760000,INR,1,1,0,"A plot is available for sale in Telibagh, Lucknow. It has an area of 800 sqft. The property is available at a price of Rs. 7.60 lac . It is northwest facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,northwest,0,0,1,0,0,0,0,1,,,0,,,0,0,0,,,,,,,,,,,,,
Golf City,1000,1899000,INR,1,1,0,"A plot property is available for sale in Golf City, Lucknow. It has a salable area of 1000 sqft and is available at a price of Rs. 1,899 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,,0,4,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Mohanlalganj,800,800000,INR,1,1,0,"A plot property is available for sale in Mohanlalganj, Lucknow. It has a salable area of 800 sqft and is available at a price of Rs. 1,000 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,east,0,0,1,0,0,0,0,1,,,0,,,0,0,0,6.3,,,,,,,,,,,,
Gosainganj,1260,1258740,INR,1,1,0,"This plot is available for sale and is located in the heart of Gosainganj. It has a salable area of 1260 sqft and is available at a price of Rs. 999 per sqft. It is facing west direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,west,0,0,0,0,0,0,0,1,,,0,,,0,0,0,6.3,,,,,,,,,,,,
Jankipuram,700,909300,INR,1,1,0,"A plot property is available for sale in Jankipuram, Lucknow. It has an area of 700 sqft and is priced at Rs. 9.09 lac . It is facing west direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,west,0,0,0,0,0,0,0,0,,,0,,,0,0,0,8.4,,,,,,,,,,,,
Alambagh,2000,1700000,INR,1,1,0,"This plot is situated in Sabri City Properties And Developers Sabri City, Alambagh. It has landscaped gardens as well as sewage treatment plant. The project also has cctv, fire sprinklers, gated community, 24x7 water supply, 24 x 7 security, jogging track, cycling & jogging track and rain water harvesting. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,1.0,1.0,1,1.0,1.0,1,1,1,,,,,,,,,,,,,
Alambagh,1000,850000,INR,1,1,0,"This plot is situated in Sabri City Properties And Developers Sabri City, Alambagh. It has an area of 1000 sqft. The property is available at a price of Rs. 8.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,1.0,1.0,1,1.0,1.0,1,1,1,,,,,,,,,,,,,
Alambagh,5000,4250000,INR,1,1,0,"A plot is available for sale in Sabri City Properties And Developers Sabri City, Alambagh, Lucknow. It has a salable area of 5000 sqft and is available at a price of Rs. 850 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,1.0,1.0,1,1.0,1.0,1,1,1,,,,,,,,,,,,,
Alambagh,1250,1062500,INR,1,1,0,"This plot is situated in Sabri City Properties And Developers Sabri City, Alambagh, Lucknow. It has a salable area of 1250 sqft and is available at a price of Rs. 850 per sqft. It has car parking as well as 24 x 7 security. The project also has maintenance staff, fire sprinklers, cctv, gated community, landscape garden and tree planting, rain water harvesting, 24x7 water supply and sewage treatment plant. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,1.0,1.0,1,1.0,1.0,1,1,1,,,,,,,,,,,,,
Alambagh,3000,2550000,INR,1,1,0,"A plot is available for sale in Sabri City Properties And Developers Sabri City, Alambagh, Lucknow. The amenities include landscape garden and tree planting, cycling & jogging track, jogging track, landscaped gardens, sewage treatment plant, car parking, children's play area, fire sprinklers, cctv and 24x7 water supply. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,1.0,1.0,1,1.0,1.0,1,1,1,,,,,,,,,,,,,
Alambagh,1500,1275000,INR,1,1,0,"A plot is available for sale in Sabri City Properties And Developers Sabri City, Alambagh, Lucknow. It has a salable area of 1500 sqft and is available at a price of Rs. 850 per sqft. It has fire sprinklers as well as landscaped gardens. The project also has cycling & jogging track, gated community, 24 x 7 security, jogging track, rain water harvesting, 24x7 water supply, cctv and car parking. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,,0,0,0,0,0,0,0,0,1.0,1.0,1,1.0,1.0,1,1,1,,,,,,,,,,,,,
Alambagh,2000,1700000,INR,1,1,0,"This plot is situated in Sabri City Properties And Developers Sabri City, Alambagh. It has landscaped gardens as well as sewage treatment plant. The project also has cctv, fire sprinklers, gated community, 24x7 water supply, 24 x 7 security, jogging track, cycling & jogging track and rain water harvesting. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,1.0,1.0,1,1.0,1.0,1,1,1,,,,,,,,,,,,,
Alambagh,1000,850000,INR,1,1,0,"This plot is situated in Sabri City Properties And Developers Sabri City, Alambagh. It has an area of 1000 sqft. The property is available at a price of Rs. 8.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,1.0,1.0,1,1.0,1.0,1,1,1,,,,,,,,,,,,,
Alambagh,5000,4250000,INR,1,1,0,"A plot is available for sale in Sabri City Properties And Developers Sabri City, Alambagh, Lucknow. It has a salable area of 5000 sqft and is available at a price of Rs. 850 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,1.0,1.0,1,1.0,1.0,1,1,1,,,,,,,,,,,,,
Alambagh,1250,1062500,INR,1,1,0,"This plot is situated in Sabri City Properties And Developers Sabri City, Alambagh, Lucknow. It has a salable area of 1250 sqft and is available at a price of Rs. 850 per sqft. It has car parking as well as 24 x 7 security. The project also has maintenance staff, fire sprinklers, cctv, gated community, landscape garden and tree planting, rain water harvesting, 24x7 water supply and sewage treatment plant. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,1.0,1.0,1,1.0,1.0,1,1,1,,,,,,,,,,,,,
Alambagh,3000,2550000,INR,1,1,0,"A plot is available for sale in Sabri City Properties And Developers Sabri City, Alambagh, Lucknow. The amenities include landscape garden and tree planting, cycling & jogging track, jogging track, landscaped gardens, sewage treatment plant, car parking, children's play area, fire sprinklers, cctv and 24x7 water supply. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,1.0,1.0,1,1.0,1.0,1,1,1,,,,,,,,,,,,,
Alambagh,1500,1275000,INR,1,1,0,"A plot is available for sale in Sabri City Properties And Developers Sabri City, Alambagh, Lucknow. It has a salable area of 1500 sqft and is available at a price of Rs. 850 per sqft. It has fire sprinklers as well as landscaped gardens. The project also has cycling & jogging track, gated community, 24 x 7 security, jogging track, rain water harvesting, 24x7 water supply, cctv and car parking. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,,0,0,0,0,0,0,0,0,1.0,1.0,1,1.0,1.0,1,1,1,,,,,,,,,,,,,
Alambagh,599,509150,INR,1,1,0,"A plot is available at a prime location in Sabri City Properties And Developers Sabri City. It has an area of 599 sqft and is priced at Rs. 5.09 lac . It has fire sprinklers as well as maintenance staff. The project also has sewage treatment plant, landscape garden and tree planting, jogging track, rain water harvesting, cctv, gated community, cycling & jogging track and landscaped gardens. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,1.0,1.0,1,1.0,1.0,1,1,1,,,,,,,,,,,,,
Alambagh,2200,1870000,INR,1,1,0,"This plot is available for sale and is located in Sabri City Properties And Developers Sabri City, one of the most prestigious projects of Alambagh. It has a salable area of 2200 sqft and is available at a price of Rs. 850 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,1.0,1.0,1,1.0,1.0,1,1,1,,,,,,,,,,,,,
Aashiyana,1000,6500000,INR,1,1,0,"A plot is available at a prime location in Aashiyana. It has a salable area of 1000 sqft and is available at a price of Rs. 6,500 per sqft. It is north facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,north,0,0,0,0,0,0,0,0,,,0,,,0,0,0,9.1,,,,,,,,,,,,
Mohanlalganj,1200,1078800,INR,1,1,0,"This plot is situated in Mohanlalganj, Lucknow. It has a salable area of 1200 sqft and is available at a price of Rs. 899 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,,,0,,,0,0,0,6.3,,,,,,,,,,,,
Alambagh,2000,1900000,INR,1,1,0,"This plot is situated in JSI Infra Developers Aalishan City, Alambagh, Lucknow. It has a salable area of 2000 sqft and is available at a price of Rs. 950 per sqft. The amenities include internal roads, street lighting, landscape garden and tree planting, fountains and jogging track. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,,0,1,0,0,0,0,0,0,,,1,,,0,0,0,,,,,,,,,,,,,
Alambagh,1000,950000,INR,1,1,0,"This plot is situated in JSI Infra Developers Aalishan City, Alambagh, Lucknow. It has an area of 1000 sqft. The property is available at a price of Rs. 9.50 lac . The amenities include fountains, internal roads, jogging track, street lighting and landscape garden and tree planting. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,,0,1,0,0,0,0,0,0,,,1,,,0,0,0,,,,,,,,,,,,,
Alambagh,3000,2850000,INR,1,1,0,"This plot is situated in JSI Infra Developers Aalishan City, Alambagh, Lucknow. It has an area of 3000 sqft and is priced at Rs. 28.50 lac . The amenities include internal roads, fountains, jogging track, landscape garden and tree planting and street lighting. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,,0,1,0,0,0,0,0,0,,,1,,,0,0,0,,,,,,,,,,,,,
Alambagh,1500,1425000,INR,1,1,0,"This plot is available for sale and is located in JSI Infra Developers Aalishan City, one of the most prestigious projects of Alambagh. It has an area of 1500 sqft. The property is available at a price of Rs. 14.25 lac . It has internal roads as well as street lighting. The project also has jogging track, fountains and landscape garden and tree planting. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,,0,1,0,0,0,0,0,0,,,1,,,0,0,0,,,,,,,,,,,,,
Alambagh,2400,2280000,INR,1,1,0,"A plot property is available for sale in JSI Infra Developers Aalishan City, Alambagh, Lucknow. It has a salable area of 2400 sqft and is available at a price of Rs. 950 per sqft. The amenities include fountains, jogging track, internal roads, landscape garden and tree planting and street lighting. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,,0,1,0,0,0,0,0,0,,,1,,,0,0,0,,,,,,,,,,,,,
Alambagh,1200,1140000,INR,1,1,0,"A plot property is available for sale in JSI Infra Developers Aalishan City, Alambagh, Lucknow. It has an area of 1200 sqft and is priced at Rs. 11.40 lac . It has landscape garden and tree planting as well as street lighting. The project also has internal roads, fountains and jogging track. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,,0,1,0,0,0,0,0,0,,,1,,,0,0,0,,,,,,,,,,,,,
Alambagh,600,570000,INR,1,1,0,"A plot is available at a prime location in JSI Infra Developers Aalishan City. It has an area of 600 sqft and is priced at Rs. 5.70 lac . It has jogging track as well as internal roads. The project also has landscape garden and tree planting, fountains and street lighting. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,,0,1,0,0,0,0,0,0,,,1,,,0,0,0,,,,,,,,,,,,,
Neel Matha,1200,2220000,INR,1,1,0,"This plot is situated in Neel Matha, Lucknow. It has an area of 1200 sqft and is priced at Rs. 22.20 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Golf City,1200,1560000,INR,1,1,0,"A plot property is available for sale in Golf City, Lucknow. It has an area of 1200 sqft. The property is available at a price of Rs. 15.60 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,,0,4,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Vrindavan Yojna,1318,8200000,INR,1,0,0,"A plot property is available for sale in Vrindavan Yojna, Lucknow. It has an area of 1318 sqft. The property is available at a price of Rs. 82.00 lac . It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,northeast,0,0,0,0,0,0,0,1,,,0,,,0,0,0,8.1,,,,,,,,,,,,
Mohanlalganj,1000,899000,INR,1,1,0,"This plot is situated in Mohanlalganj. It has a salable area of 1000 sqft and is available at a price of Rs. 899 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,,,0,,,0,0,0,6.3,,,,,,,,,,,,
Sultanpur Road,2400,7200000,INR,1,1,0,"This plot is situated in Sapphire Constructions Residency, Sultanpur Road. It has an area of 2400 sqft. The property is available at a price of Rs. 72.00 lac . Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,west,0,0,1,0,1,1,1,1,1.0,,1,1.0,,1,0,1,,,17.0,,,,,,,,,,
Sultanpur Road,1250,3500000,INR,1,1,0,"A plot is available for sale in Sapphire Constructions Residency, Sultanpur Road, Lucknow. It has an area of 1250 sqft. The property is available at a price of Rs. 35.00 lac . It is facing west direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,west,0,0,1,0,1,1,1,1,1.0,,1,1.0,,1,0,1,,,17.0,,,,,,,,,,
Bakkas,1950,7800000,INR,1,1,0,"This plot is situated in Sapphire Infraventures Sapphire Royale Apartment, Bakkas. It has an area of 1950 sqft and is priced at Rs. 78.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,west,0,0,1,0,0,0,0,1,,,0,,,0,0,0,,,123.0,,,,,,,,,,
Sarojini Nagar,1000,836000,INR,1,1,0,A plot is available at a prime location in Sarojini Nagar. It has an area of 1000 sqft and is priced at Rs. 8.36 lac . It is east facing property. It is situated in the proximity of all the important facilities. Please contact us for more details. ,1,east,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Sarojini Nagar,1000,730000,INR,1,1,0,"This plot is available for sale and is located in the heart of Sarojini Nagar. It has a salable area of 1000 sqft and is available at a price of Rs. 730 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact for more details. ",1,east,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Sarojini Nagar,1000,725000,INR,1,1,0,"This plot is situated in Sarojini Nagar, Lucknow. It has a salable area of 1000 sqft and is available at a price of Rs. 725 per sqft. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Sarojini Nagar,1000,900000,INR,1,1,0,"This plot is situated in Sarojini Nagar. It has an area of 1000 sqft and is priced at Rs. 9.00 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Sarojini Nagar,1000,849600,INR,1,1,0,"A plot property is available for sale in Sarojini Nagar, Lucknow. It has a salable area of 1000 sqft and is available at a price of Rs. 849 per sqft. It is east facing property. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Sarojini Nagar,1000,849000,INR,1,1,0,"A plot is available for sale in Sarojini Nagar, Lucknow. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Sultanpur Road,3200,9200000,INR,1,1,0,"A plot property is available for sale in Sapphire Constructions Residency, Sultanpur Road, Lucknow. It has an area of 3200 sqft. The property is available at a price of Rs. 92.00 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,east,0,0,1,0,1,1,1,1,1.0,,1,1.0,,1,0,1,,,17.0,,,,,,,,,,
Sushant Golf City,1800,6480000,INR,0,1,0,"A plot is available for sale in Baba Infra Developers Kailasha Encalve, Sushant Golf City, Lucknow. It has an area of 1800 sqft and is priced at Rs. 64.80 lac . The amenities include 24x7 water supply, solid waste management and disposal, fire sprinklers and full power backup. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact us for more details. ",1,,0,0,0,0,0,0,1,0,,,0,,,0,0,0,,,,,,,,,,,,,
Sushant Golf City,4359,15693768,INR,0,1,0,"This plot is situated in Baba Infra Developers Kailasha Encalve, Sushant Golf City, Lucknow. It has a salable area of 4359 sqft and is available at a price of Rs. 3,600 per sqft. The amenities include 24x7 water supply, full power backup, solid waste management and disposal and fire sprinklers. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,,0,0,0,0,0,0,1,0,,,0,,,0,0,0,,,,,,,,,,,,,
Sushant Golf City,1500,5400000,INR,0,1,0,"This plot is available for sale and is located in Baba Infra Developers Kailasha Encalve, one of the most prestigious projects of Sushant Golf City. It has a salable area of 1500 sqft and is available at a price of Rs. 3,600 per sqft. The amenities include 24x7 water supply, solid waste management and disposal, full power backup and fire sprinklers. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1,,0,0,0,0,0,0,1,0,,,0,,,0,0,0,,,,,,,,,,,,,
Sushant Golf City,1200,4320000,INR,0,1,0,"This plot is situated in Baba Infra Developers Kailasha Encalve, Sushant Golf City, Lucknow. It has an area of 1200 sqft and is priced at Rs. 43.20 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,,0,0,0,0,0,0,1,0,,,0,,,0,0,0,,,,,,,,,,,,,
Alambagh,2000,1400000,INR,1,1,0,"A plot is available for sale in Arsh Property Developers And Builders Property, Alambagh, Lucknow. It has a salable area of 2000 sqft and is available at a price of Rs. 700 per sqft. The amenities include hospital, internal roads, temple, landscape garden and tree planting, street lighting, storm water drains, full power backup, school, reflexology park and park. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,,0,0,0,0,0,0,1,0,,,0,,,1,0,0,,,,1.0,,,,,,1.0,,,
Alambagh,1000,700000,INR,1,1,0,"This plot is situated in Arsh Property Developers And Builders Property, Alambagh, Lucknow. It has a salable area of 1000 sqft and is available at a price of Rs. 700 per sqft. The amenities include entrance lobby, temple, school, cctv, internal roads, grocery shop, market, full power backup, park and reflexology park. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,1,0,,,0,,,1,0,0,,,,1.0,,,,,,1.0,,,
Alambagh,5000,3500000,INR,1,1,0,"A plot is available for sale in Arsh Property Developers And Builders Property, Alambagh, Lucknow. It has market as well as temple. The project also has cctv, storm water drains, internal roads, school, street lighting, full power backup, landscape garden and tree planting and park. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,1,0,,,0,,,1,0,0,,,,1.0,,,,,,1.0,,,
Alambagh,1500,1050000,INR,1,1,0,"It has an area of 1500 sqft and is priced at Rs. 10.50 lac . The amenities include storm water drains, full power backup, internal roads, park, landscape garden and tree planting, cctv, market, entrance lobby, temple and street lighting. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,,0,0,0,0,0,0,1,0,,,0,,,1,0,0,,,,1.0,,,,,,1.0,,,
Alambagh,800,560000,INR,1,1,0,"This plot is situated in Arsh Property Developers And Builders Property, Alambagh. It has a salable area of 800 sqft and is available at a price of Rs. 700 per sqft. It has storm water drains as well as landscape garden and tree planting. The project also has park, school, children's play area, full power backup, hospital, market, internal roads and grocery shop. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,,0,0,0,0,0,0,1,0,,,0,,,1,0,0,,,,1.0,,,,,,1.0,,,
Sultanpur Road,1800,991800,INR,0,1,0,"A plot property is available for sale in NJSV Enterprises Vatican City, Sultanpur Road, Lucknow. It has an area of 1800 sqft. The property is available at a price of Rs. 9.92 lac . It has landscape garden and tree planting as well as cycling & jogging track. The project also has street lighting, 24 x 7 security, fountains, children's play area, paved compound, shopping mall and gated community. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,,0,0,0,0,0,1,1,1,1.0,,0,1.0,,1,1,0,,,,,,1.0,,,,,,,
Sultanpur Road,2000,1102000,INR,0,1,0,"A plot property is available for sale in NJSV Enterprises Vatican City, Sultanpur Road, Lucknow. It has an area of 2000 sqft. The property is available at a price of Rs. 11.02 lac . The amenities include children's play area, 24 x 7 security, street lighting, shopping mall, gated community, paved compound, cycling & jogging track, fountains and landscape garden and tree planting. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,,0,0,0,0,0,1,1,1,1.0,,0,1.0,,1,1,0,,,,,,1.0,,,,,,,
Sultanpur Road,1000,551000,INR,0,1,0,"This plot is available for sale and is located in NJSV Enterprises Vatican City, one of the most prestigious projects of Sultanpur Road. It has an area of 1000 sqft. The property is available at a price of Rs. 5.51 lac . It has landscape garden and tree planting as well as cycling & jogging track. The project also has paved compound, street lighting, 24 x 7 security, children's play area, shopping mall, gated community and fountains. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,,0,0,0,0,0,1,1,1,1.0,,0,1.0,,1,1,0,,,,,,1.0,,,,,,,
Sultanpur Road,2500,1377500,INR,0,1,0,"This plot is situated in NJSV Enterprises Vatican City, Sultanpur Road, Lucknow. It has an area of 2500 sqft. The property is available at a price of Rs. 13.77 lac . It has gated community as well as cycling & jogging track. The project also has 24 x 7 security, street lighting, paved compound, landscape garden and tree planting, shopping mall, fountains and children's play area. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,,0,0,0,0,0,1,1,1,1.0,,0,1.0,,1,1,0,,,,,,1.0,,,,,,,
Sultanpur Road,3000,1653000,INR,0,1,0,"A plot is available for sale in NJSV Enterprises Vatican City, Sultanpur Road, Lucknow. It has an area of 3000 sqft. The property is available at a price of Rs. 16.53 lac . The amenities include cycling & jogging track, fountains, landscape garden and tree planting, paved compound, 24 x 7 security, children's play area, street lighting, gated community and shopping mall. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,,0,0,0,0,0,1,1,1,1.0,,0,1.0,,1,1,0,,,,,,1.0,,,,,,,
Sultanpur Road,1500,826500,INR,0,1,0,"A plot is available at a prime location in NJSV Enterprises Vatican City. It has a salable area of 1500 sqft and is available at a price of Rs. 551 per sqft. The amenities include fountains, landscape garden and tree planting, children's play area, street lighting, 24 x 7 security, shopping mall, paved compound, gated community and cycling & jogging track. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,,0,0,0,0,0,1,1,1,1.0,,0,1.0,,1,1,0,,,,,,1.0,,,,,,,
Sultanpur Road,800,440800,INR,0,1,0,"This plot is situated in NJSV Enterprises Vatican City, Sultanpur Road. It has an area of 800 sqft. The property is available at a price of Rs. 4.41 lac . It has gated community as well as children's play area. The project also has shopping mall, landscape garden and tree planting, street lighting, fountains, paved compound, 24 x 7 security and cycling & jogging track. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact for more details. ",1,,0,0,0,0,0,1,1,1,1.0,,0,1.0,,1,1,0,,,,,,1.0,,,,,,,
