location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Swimming Pool,Sports Facility,Lift(s),Club House,Full Power Backup,Gymnasium,Rain Water Harvesting,Maintenance Staff,Jogging Track,Car Parking,Vaastu Compliant,Children's play area,24 X 7 Security,Landscaped Gardens,locality_score,project_score,builder_experience,School,ATM,Shopping Mall,Multipurpose Room,Intercom,Staff Quarter,Hospital,Indoor Games,Cafeteria,Golf Course
Mohanlalganj,1250,2437500,INR,1,0,0,"This plot is situated in Signature Infra Developers Park, Mohanlalganj. It has an area of 1250 sqft and is priced at Rs. 24.38 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,northeast,0,3,1,0,0,1,1,1,1.0,,1,1.0,,1,1,0,6.3,,123.0,1.0,1.0,1.0,1.0,1.0,,,,,
Gosainganj,1000,1450000,INR,1,0,0,"This plot is situated in Gosainganj, Lucknow. It has an area of 1000 sqft and is priced at Rs. 14.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,,,0,0,0,6.3,,,,,,,,,,,,
Vrindavan Yojna,1000,1650000,INR,1,0,0,"A plot is available for sale in Vrindavan Yojna, Lucknow. It has a salable area of 1000 sqft and is available at a price of Rs. 1,650 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,,,0,,,0,0,0,8.1,,,,,,,,,,,,
Lolai,1080,1620000,INR,1,0,0,"A plot is available for sale in Lolai, Lucknow. It has an area of 1080 sqft. The property is available at a price of Rs. 16.20 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details.",1,east,0,4,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Rajajipuram,1000,1650000,INR,1,0,0,"This plot is situated in Rajajipuram, Lucknow. It has an area of 1000 sqft. The property is available at a price of Rs. 16.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,,,0,0,0,8.3,,,,,,,,,,,,
Sarojini Nagar,1800,2880000,INR,1,0,0,"This plot is situated in Sarojini Nagar. It has an area of 1800 sqft. The property is available at a price of Rs. 28.80 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Kalli Pashchim,1000,1000000,INR,1,0,0,"A plot is available for sale in Kalli Pashchim, Lucknow. It has a salable area of 1000 sqft and is available at a price of Rs. 1,000 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,,0,4,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Mohanlalganj,1000,750000,INR,0,0,0,"This plot is situated in Mohanlalganj. It has an area of 1000 sqft and is priced at Rs. 7.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,,,0,0,0,6.3,,,,,,,,,,,,
Kalli Pashchim,1000,1500000,INR,1,0,0,"This plot is situated in Kalli Pashchim, Lucknow. It has an area of 1000 sqft. The property is available at a price of Rs. 15.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,east,0,4,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Jankipuram,2400,4550000,INR,1,0,0,"This plot is available for sale and is located in the heart of Jankipuram. Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,west,0,0,0,0,0,0,0,0,,,0,,,0,0,0,8.4,,,,,,,,,,,,
CHINHAT TIRAHA,1000,1499000,INR,1,0,0,"A plot is available at a prime location in CHINHAT TIRAHA. It has an area of 1000 sqft and is priced at Rs. 14.99 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,east,0,5,0,0,0,0,0,1,,,0,,,0,0,0,,,,,,,,,,,,,
Golf City,1000,1200000,INR,1,0,0,"It has an area of 1000 sqft and is priced at Rs. 12.00 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,east,0,4,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Naubasta Kala,800,1199000,INR,1,0,0,"A plot is available for sale in Naubasta Kala, Lucknow. It has a salable area of 800 sqft and is available at a price of Rs. 1,498 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,,0,4,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
jankipuram vistar,570,895000,INR,1,0,0,"A plot property is available for sale in jankipuram vistar, Lucknow. It has a salable area of 1050 sqft and is available at a price of Rs. 852 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,,0,5,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Fatehganj,1000,1050000,INR,1,0,0,"A plot property is available for sale in Fatehganj, Lucknow. It has an area of 1000 sqft. The property is available at a price of Rs. 10.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,,0,2,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Arjunganj,1000,1299000,INR,1,0,0,"This plot is situated in Arjunganj, Lucknow. It has a salable area of 1000 sqft and is available at a price of Rs. 1,299 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Omaxe City,1000,2500000,INR,0,0,0,"A plot is available at a prime location in Omaxe City. It has an area of 1000 sqft and is priced at Rs. 25.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Bakshi Ka Talab,1000,899000,INR,1,0,0,"A plot is available at a prime location in Bakshi Ka Talab. It has a salable area of 1000 sqft and is available at a price of Rs. 899 per sqft. It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Gosainganj,1000,1500000,INR,1,0,0,"This plot is situated in Gosainganj, Lucknow. It has an area of 1000 sqft and is priced at Rs. 15.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,west,0,0,0,0,0,0,0,0,,,0,,,0,0,0,6.3,,,,,,,,,,,,
