location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Rain Water Harvesting,Intercom,Car Parking,Vaastu Compliant,Indoor Games,Multipurpose Room,Staff Quarter,Cafeteria,School,Maintenance Staff,Shopping Mall,Golf Course,ATM,Hospital
Kharadi,2941,25000000,INR,,0,0,"It’s a 4 bhk builder floor situated in Gera Developments Greens Ville Sky Villas, Kharadi. It has a built-up area of 2941 sqft and is priced at Rs. 2.50 cr . The house is furnished. It is east facing property. It is a 9 year old ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas. ",1,east,1,9,1,1,1,1,1,1,1,1,1,0,8.9,8.3,52,1,1,1,1,1,1,1,,,,,,,
Deccan Gymkhana,2850,70000000,INR,,1,0,"A 4 bhk property is available for sale in Rachana Lifestyle Polaris, Deccan Gymkhana, Pune. It has a salable area of 2850 sqft and is available at a price of Rs. 24,561 per sqft. It is an unfurnished property. It is facing east direction. It is a 8 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,east,0,8,1,1,0,1,1,1,1,0,0,0,9.2,8.1,47,1,1,,,,,,,,,,,,
Mundhwa,2100,19000000,INR,,1,0,The house is semi-furnished. It is facing east direction. This residential complex is under-construction as of now. The expected completion date is 30/06/2026. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact for more details. ,1,east,0,0,1,1,0,1,1,1,1,1,1,0,8.6,,20,,1,,,,,,,,,,,,
Baner,5600,55000000,INR,1,0,0,"It’s a 5 bhk builder floor situated in Baner, Pune. It has a salable area of 5600 sqft and is available at a price of Rs. 9,821 per sqft. The house is furnished. It has 1 tv, 1 refrigerator, 1 sofa and 1 washing machine. It also has 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It has club house. Other amenities include lift available, gymnasium and power backup. Its main door is facing east direction. It is a ready-to-move-in property. It is well connected to the city areas. Contact us for more details. ",1,east,1,0,1,1,0,1,1,1,0,0,0,0,9.1,,,,1,,,,,,,,,,,,
Keshav Nagar,1180,7900000,INR,,1,0,"This spacious 3 bhk builder floor is available for sale and is located in the heart of Keshav Nagar. It has a built-up area of 1180 sqft and is priced at Rs. 79.00 lac . The house is unfurnished. It is east facing property. It is an under-construction property . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,east,0,0,1,1,0,1,1,1,1,1,0,0,,,,,1,,,,,,,,,,,,
Lohegaon,600,2700000,INR,,1,0,"It has a salable area of 600 sqft and is available at a price of Rs. 4,500 per sqft. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,east,0,0,1,1,0,1,1,1,1,1,0,0,8,,,,,,,,,,,,,,,,
Baner,520,5100000,INR,1,0,0,"A spacious 1 bhk builder floor is available for sale in Baner, Pune. It has a built-up area of 520 sqft and is priced at Rs. 51.00 lac . The house is unfurnished. Its main door is facing west direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,west,0,0,1,0,0,0,0,0,0,0,0,0,9.1,,,,,,,,,,,,,,,,
Ambegaon Budruk,2700,24900000,INR,,0,0,"This spacious 3 bhk builder floor is available for sale and is located in B K Chavan Shree Krupa Shrushti, one of the most prestigious projects of Ambegaon Budruk. It has a built-up area of 2700 sqft and is priced at Rs. 2.49 cr . It is a furnished property. It has 1 sofa, 1 sofa, 1 dining table and 1 bed. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. ",1,east,1,11,1,1,0,1,1,1,1,1,0,0,8.1,7.3,33,,1,,,,,,,,,,,,
Bavdhan,2733,20000000,INR,,1,0,"The floor plan of Padmavati Hills is spaciously designed with utmost perfection and keeping in mind the modern lifestyle of occupants. Padmavati Hills flats are bestowed with wide range of amenities and facilities that will uplift your standard of living. Few of them are listed below
For relaxation, there are facilities like landscaped garden, infinity pool, meditation hall, kids? play area and senior citizen's park provided.
Recreational facilities like Clubhouse, Central Garden, Party Lawn, Amphitheatre and Multipurpose Hall is provided for indoor games, reading and music.
Sports facilities like play ground, basketball/ tennis court and jogging/ cycling track are available.
Ample space for parking in the form of covered parking is allotted.

The specifications of this project include vitrified flooring, branded fittings, modular switches and decorative main entrance door. In the master bedrooms, there is provision for split AC appointed. The living and master bedroom are well featured with TV and telephone point. Also, uninterrupted flow of power supply is provided as wiring for inverter is provided . Padmavati Hills brochure is available on the website and will guide you with this project.

Padmavati Hills, Bavdhan, Pune is well linked to Kothrud that is hardly 5 minutes away. Also, it has Paud road and arterial Karve road in close proximity. Ryan International School and many other reputed schools are in vicinity.
 More About This Property 4 BHK Independent Floor for sale in Bavdhan, Pune - contact now, for details about the most coveted property. This 4 BHK unit is available in Bavdhan and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in Bavdhan. It is on floor 4. The total number of floors is 12. The price of this Independent Floor is Rs 2.0 Cr. It is a good, spacious Independent Floor unit with carpet area of 2025 Square feet. The built-up area is 2733 Square feet. There are 4 bedrooms and 4 bathroom. The property is East-facing. This building is equipped with lift. This is a gated community. It is a thoroughly secure premise with cctv facility. Other facilities include provisions for Gym, Garden, Sports Facility, Swimming Pool, Intercom, Clubhouse, Community Hall. This property also enjoys power backup facility. Regular water supply is available. A dedicated kids area is also available. This property is at a walking distance from Varad Hospital, Omkar General Hospital, and Om Hospital. The city's best schools such as Ryan International School, Ryan International, and Periwinkle English Medium School are near your residential property",1,east,0,0,1,1,1,1,1,1,1,1,1,0,8.1,,123,1,1,1,,,1,,1,,,,,,
Aundh,7880,120000000,INR,,0,0,It has an area of 7880 sqft with a carpet area of 6500 sqft . The property is available at a price of Rs. 12.00 cr . It is an unfurnished property. It is a 7 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. Kindly call us for details. ,1,east,0,7,1,1,1,1,1,1,1,1,0,0,9.7,7.4,17,,1,1,,,,,,,,,,,
Gahunje,988,3439000,INR,,1,0,"It’s a 2 bhk builder floor situated in Kohinoor Group Construction And Real Estate Abhimaan Homes, Gahunje. It has a built-up area of 988 sqft and is priced at Rs. 34.39 lac . The house is unfurnished. It is east facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,east,0,2,1,1,1,1,1,1,1,1,1,1,7.4,,39,1,1,1,,1,,,,1,1,1,,,
Balewadi,2361,26437940,INR,,1,0,"A spacious 4 bhk builder floor is available for sale in Gagan Developers Klara, Balewadi, Pune. It has an area of 2361 sqft with a carpet area of 1749 sqft . The property is available at a price of Rs. 2.64 cr . It is facing east direction. This residential complex is under-construction as of now. The expected completion date is 01/09/2023. It is made in way to provide a comfortable living. If you are interested, please contact us for more details. ",1,east,0,0,1,1,1,1,1,1,1,0,1,1,8.8,,123,1,1,1,1,,1,,1,,,1,,,
Baner,3200,36000000,INR,,1,0,,1,east,0,122,1,1,0,1,1,1,1,1,0,0,9.1,,,,1,,,,,,,,,,,,
Wadgaon Sheri,1645,12400000,INR,,0,0,"Well designed 3 bhk builder floor is available at a prime location in Wadgaon Sheri. It has a built-up area of 1645 sqft and is priced at Rs. 1.24 cr . The house is semi-furnished. It is west facing property. It is a 5 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,west,0,5,1,1,0,1,1,1,1,1,0,0,,,,,1,,,,,,,,,,,,
NIBM Annex Mohammadwadi,4800,30000000,INR,,0,0,"A spacious 4 bhk builder floor is available for sale in NIBM Annex Mohammadwadi, Pune. It has a salable area of 4800 sqft and is available at a price of Rs. 6,250 per sqft. It has club house as well as power backup. The project also has lift available. Its main door is facing east direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,east,0,0,1,1,0,1,1,1,1,1,0,0,,,,,1,,,,,,,,,,,,
Ambegaon Budruk,600,1900000,INR,,1,0,Well designed 1 bhk builder floor is available at a prime location in Ambegaon Budruk. It has a built-up area of 600 sqft and is priced at Rs. 19.00 lac . It is an unfurnished property. This residential property is ready-to-move-in. The society is well connected by different modes of transportation. Kindly call us for details. ,1,east,0,0,1,1,0,0,0,0,0,1,0,0,8.1,,,,,,,,,,,,,,,,
Viman Nagar,1200,8300000,INR,,1,0,"A spacious 2 bhk builder floor is available for sale in Shree Rahde Constructions Camelot Housing Society, Viman Nagar, Pune. It has an area of 1200 sqft with a carpet area of 1080 sqft . The property is available at a price of Rs. 83.00 lac . The house is unfurnished. It is facing north direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,north,0,8,1,1,1,1,1,1,1,1,0,0,9.2,7.2,123,1,1,1,,,,,,,,,,,
Kharadi,3712,33363112,INR,0,1,0,"It’s a 5 bhk builder floor situated in Goel Ganga Developments Platinum B, Kharadi. It has a salable area of 3712 sqft and is available at a price of Rs. 8,987 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,east,0,0,1,1,0,1,1,1,1,1,1,0,8.9,,39,,1,1,,,,,,,,,,,
Punawale,810,5600000,INR,,1,0,"Well designed 2 bhk builder floor is available at a prime location in Aishwaryam Group Insignia. It has an area of 810 sqft with a carpet area of 671 sqft . The property is available at a price of Rs. 56.00 lac . It is an unfurnished property. It is west facing property. It is an under-construction property and is expected to get completed by 01/12/2026. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,west,0,0,1,1,0,1,1,1,1,1,1,0,,,123,1,1,1,,1,,,1,,,,,,
Bavdhan,4200,17500000,INR,,1,0,"A 3 bhk property is available for sale in Pinnacle Group Brookside, Bavdhan, Pune. It has a salable area of 4200 sqft and is available at a price of Rs. 4,166 per sqft. The house is semi-furnished. It has swimming pool as well as cctv. The project also has children's play area, club house, power backup, gated community, gymnasium and lift available. It is east facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Contact us for more details. ",1,east,0,1,1,1,1,1,1,1,1,1,1,0,8.1,7.6,26,,1,1,,1,1,,,,1,,,,
Wakad,1067,5345000,INR,,0,0,"It’s a 2 bhk builder floor situated in Omega Promoters Paradise, Wakad, Pune. It has an area of 1067 sqft with a carpet area of 790 sqft . The property is available at a price of Rs. 53.45 lac . It is an unfurnished property. It has lift available. Other amenities include club house, gymnasium, gated community, swimming pool, power backup, children's play area and cctv. It is facing west direction. It is a 13 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",1,west,0,12,1,1,1,1,1,1,1,1,1,0,9.4,8.1,19,1,1,1,,1,,,,,,,,,
Kothrud,2500,38500000,INR,1,0,0,"It’s a 5 bhk builder floor situated in Kumar Properties Karishma, Kothrud. It has a built-up area of 2500 sqft and is priced at Rs. 3.85 cr . It is a furnished property. It has 1 tv, 1 refrigerator, 1 sofa and 1 sofa. It also has 1 washing machine, 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. This residential property is ready-to-move-in. Contact us for more details. ",1,east,1,7,1,1,1,1,1,1,1,1,1,0,9.2,8.5,56,1,1,1,1,1,,1,1,,,,,,
Mundhwa,594,2570000,INR,0,0,0,,1,east,0,0,1,1,0,0,0,0,0,0,0,0,8.6,,,,,,,,,,,,,,,,
Viman Nagar,910,7050000,INR,,0,0,"It’s a 1 bhk builder floor situated in Ideal Groups Landmark, Viman Nagar. It has a built-up area of 910 sqft and is priced at Rs. 70.50 lac . It is an unfurnished property. Its main door is facing east direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Contact us for more details. ",1,east,0,7,1,0,0,0,0,0,0,0,0,0,9.2,7,123,,1,1,,,,,,,,,,,
Wakad,2236,11200000,INR,1,1,0,"A 4 bhk property is available for sale in Wakad, Pune. It has a built-up area of 2236 sqft and is priced at Rs. 1.12 cr . It is facing east direction. This residential property is ready-to-move-in. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,east,0,0,1,1,0,1,1,1,1,1,0,0,9.4,,,,1,,,,,,,,,,,,
Baner,3500,47500000,INR,,0,0,"A 3 bhk property is available for sale in Western Hills Phase 1, Baner, Pune. It has a salable area of 3500 sqft and is available at a price of Rs. 13,571 per sqft. It is a furnished property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",1,,1,0,0,0,0,0,0,0,0,0,0,0,9.1,,2022,,,,,,,,,,,,,,
Punawale,1100,5345000,INR,,1,0,"This spacious 2 bhk builder floor is available for sale and is located in Kshitej Realtors 24 Life Blooms, one of the most prestigious projects of Punawale. It has an area of 1100 sqft with a carpet area of 800 sqft . The property is available at a price of Rs. 53.45 lac . It is an unfurnished property. This residential complex is under-construction as of now. The expected completion date is 31/10/2024. It is made in way to provide a comfortable living. Please contact us for more details. ",1,east,0,0,1,1,1,1,1,1,1,1,0,0,,,123,,1,1,,,,,,,,,,,
Baner,850,8500000,INR,,0,0,"This spacious 2 bhk builder floor is available for sale and is located in Mittal Group Sun Horizon, one of the most prestigious projects of Baner. It has an area of 850 sqft with a carpet area of 840 sqft . The property is available at a price of Rs. 85.00 lac . The house is unfurnished. It is a 9 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. If you are interested, please contact us for more details. ",1,,0,8,1,1,1,0,1,1,1,0,1,0,9.1,,24,1,,1,1,,1,1,,,,,,,
Wakad,3000,32500000,INR,,1,0,"It’s a 4 bhk builder floor situated in Kasturi Housing Epitome, Wakad. It has an area of 3000 sqft with a carpet area of 2400 sqft . The property is available at a price of Rs. 3.25 cr . It is an unfurnished property. It is an under-construction property . It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,east,0,0,1,1,1,1,1,1,1,1,1,0,9.4,8.5,23,1,1,1,1,,1,1,1,,,,1,,
Balewadi,2270,17840260,INR,,1,0,"It’s a 3 bhk builder floor situated in Gagan Developers Klara, Balewadi, Pune. The house is unfurnished. Its main door is facing east direction. This residential complex is under-construction as of now. The expected completion date is 01/09/2023. It is made in way to provide a comfortable living for the residents. Please contact for more details. ",1,east,0,0,1,1,1,1,1,1,1,1,1,1,8.8,,123,1,1,1,1,,1,,1,,,1,,,
Wadgaon Sheri,1293,8400000,INR,,0,0,"Well designed 2 bhk builder floor is available at a prime location in Wadgaon Sheri. It has an area of 1293 sqft with a carpet area of 924 sqft . The property is available at a price of Rs. 84.00 lac . It is east facing property. It is a 5 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,east,0,5,1,1,0,1,1,1,1,1,0,0,,,,,1,,,,,,,,,,,,
Kondhwa,3700,21500000,INR,,0,0,"A 4 bhk property is available for sale in Sobha Limited Carnation, Kondhwa, Pune. It has a salable area of 3700 sqft and is available at a price of Rs. 5,810 per sqft. The house is furnished. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 washing machine, 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It has gated_community. Other amenities include intercom, club house, power backup, community hall, children's play area, lift available, swimming pool, gymnasium and cctv. Its main door is facing east direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,east,1,11,1,1,1,1,1,1,1,1,1,0,8.8,8.5,27,,1,1,,,1,,1,,,,,,
Moshi,860,4296000,INR,,1,0,"Well designed 2 bhk builder floor is available at a prime location in Sonigara Corp Dwaarka World Ph 1. It has a salable area of 860 sqft and is available at a price of Rs. 4,995 per sqft. The house is unfurnished. Its main door is facing east direction. It is an under-construction property and is expected to get completed by 01/12/2025. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,east,0,0,1,1,0,1,1,1,1,1,1,0,7.9,,23,,1,,,,,,,,,,,,
Lohegaon,617,3100000,INR,,1,0,"This spacious 1 bhk builder floor is available for sale and is located in Shree Ram Group Pune Kalash, one of the most prestigious projects of Lohegaon. It has a built-up area of 617 sqft and is priced at Rs. 31.00 lac . It is an unfurnished property. It has gymnasium. Other amenities include club_house, children's_play_area, lift(s), swimming_pool and full_power_backup. It is facing east direction. It is a ready-to-move-in property. Please contact us for more details. ",1,east,0,0,1,1,1,1,1,1,1,1,1,0,8,,22,1,1,1,,,,,,,,,,,
Mundhwa,650,2363000,INR,,1,0,"It’s a 1 bhk builder floor situated in Mundhwa, Pune. It has a built-up area of 650 sqft and is priced at Rs. 23.63 lac . It is an unfurnished property. It is east facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,east,0,0,1,0,0,0,0,0,0,0,0,0,8.6,,,,,,,,,,,,,,,,
Baner,2700,32500000,INR,,0,0,"A 3 BHK Independent Floor for sale in Baner, Pune. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Baner's most desired properties. Contact now for more information. This 3 BHK unit is on floor 1. There are 20 floors in this property. The price of this Independent Floor is Rs 3.25 Cr. Each unit has a built-up area of 2700 Square feet. The carpet area is 1900 Square feet. This North-facing property has an excellent view. There are 3 bedrooms. There is provision for 4 bathroom. This property is also equipped with a servant room. The Independent Floor in Baner, Pune has lift facility. It is a thoroughly secure premise with cctv facility. Other facilities include provisions for Gym, Garden, Sports Facility, Swimming Pool, Intercom, Clubhouse, Community Hall. This property also enjoys power backup facility. Regular water supply is available in this property. Kids have access to a dedicated kids area. This is a gated community. This residential property is near Vibgyor High International School, K. Sopanrao Baburao Katke Primary School, and Sopanrao Buburao Katake Prathmik School. It is also close to Saishree Hospital - Orthopedic Hospital in Pune | Joints replacement surgery in Pune, Dhanwantari Hospital, and Dhanvantari Hospital",1,north,0,0,1,1,1,1,1,1,1,1,1,1,9.1,8.6,53,1,1,1,1,1,1,1,,,1,,1,1,
Kharadi,520,3900000,INR,,1,0,"It’s a 1 bhk builder floor situated in Nirmiti Developers 25 East, Kharadi. It has an area of 520 sqft with a carpet area of 450 sqft . The property is available at a price of Rs. 39.00 lac . The house is unfurnished. This residential complex is under-construction as of now. The expected completion date is 01/09/2023. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,,0,0,1,1,1,0,0,0,0,0,0,0,8.9,,34,1,1,1,,,,,,,,,,,
Lohegaon,910,5800000,INR,,1,0,"This spacious 2 bhk builder floor is available for sale and is located in Laxmi Developments Emerald Phase I, one of the most prestigious projects of Lohegaon. It has a salable area of 910 sqft and is available at a price of Rs. 6,373 per sqft. It is an unfurnished property. It is a 3 year old ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,,0,2,1,1,0,1,1,1,1,0,0,0,8,,123,1,1,1,1,1,,,,,1,,,,
Lohegaon,850,4500000,INR,,1,0,"Well designed 2 bhk builder floor is available at a prime location in Lohegaon. It has an area of 850 sqft with a carpet area of 650 sqft . The property is available at a price of Rs. 45.00 lac . It is an unfurnished property. Its main door is facing west direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,west,0,0,1,1,0,1,1,1,1,1,0,0,8,,,,,,,,,,,,,,,,
Baner,2236,14200000,INR,1,0,0,"Flat is very spacious and is available in a good location and society with all amenities such as Swimming pool, garden, club house, gym etc. Contact for more Details.  More About This Property 4 BHK Independent Floor for sale in Baner, Pune with modern-day amenities. The Independent Floor is in Baner which is a promising investment destination in Pune. This might be your chance to grab the best 4 BHK property for sale in Baner. The property is on floor 7 and the total number of floors is 14. This 4 BHK Independent Floor is available at a reasonable price of Rs 1.42 Cr. The built-up area is 2236 Square feet. This property has provision for 4 bathroom. This property is auspiciously built and is East-facing. Lift is provided in this property. Other provisions include Gym, Garden, Sports Facility, Intercom, Clubhouse, Community Hall. This property also enjoys power backup facility. Regular water supply is available. The property has cctv facility. A dedicated kids area is present in this project. It is a gated community. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like Saishree Hospital - Orthopedic Hospital in Pune | Joints replacement surgery in Pune, Life Line Hospital, and Baner Multispeciality Hospital. The city's best schools like Vibgyor High International School, The Orchid School, and Indira Kids are also near this housing project",1,east,0,0,1,1,0,1,1,1,0,1,0,0,9.1,,,,1,,,,,,,,,,,,
Baner,980,7500000,INR,1,0,0,"It’s a 2 bhk builder floor situated in Vasudha Sai Kimaya, Baner. It has an area of 980 sqft . The property is available at a price of Rs. 75.00 lac . The house is unfurnished. It is facing east direction. This residential property is ready-to-move-in. The site is in close proximity to various civic utilities. ",1,east,0,11,1,1,1,0,1,1,1,0,1,0,9.1,8,22,1,,1,1,,,1,,,,,,,
Narhe,950,4500000,INR,,0,0,"This spacious 2 bhk builder floor is available for sale and is located in the heart of Narhe. It has an area of 950 sqft with a carpet area of 815 sqft . The property is available at a price of Rs. 45.00 lac . The house is furnished. It has 1 tv, 1 sofa, 1 sofa and 1 gas connection. It also has 1 bed. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact us for more details. ",1,north,1,0,1,1,0,1,0,0,0,1,0,0,,,,,1,,,,,,,,,,,,
Wakad,1021,5214000,INR,,1,0,"It has a built-up area of 1021 sqft and is priced at Rs. 52.14 lac . The house is unfurnished. It is west facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,west,0,0,1,1,1,1,1,1,1,1,1,1,9.4,8.1,123,1,1,1,,1,1,,,,1,,,1,
