location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Swimming Pool,Jogging Track,Landscaped Gardens,Sports Facility,Gymnasium,locality_score,project_score,builder_experience,Indoor Games,Rain Water Harvesting,Intercom,Maintenance Staff,Vaastu Compliant,Car Parking,Shopping Mall,Multipurpose Room,ATM,Staff Quarter,Hospital,School,Cafeteria
Bharwara Crossing Road,920,4400000,INR,,1,1,Well designed 3 bhk builder floor is available at a prime location in Bharwara Crossing Road. It has a built-up area of 920 sqft and is priced at Rs. 44.00 lac (negotiable). It is on the 1st floor of the building (total number of floors are 2). The property has 3 bathrooms and 2 balconies. It is a ready-to-move-in property. It is situated in the proximity of all the important facilities. Kindly call us for details. ,1,,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Jankipuram Extension,1000,5300000,INR,,1,1,"A spacious 2 bhk builder floor is available for sale in Jankipuram Extension, Lucknow. It has an area of 1000 sqft with a carpet area of 980 sqft . The property is available at a price of Rs. 53.00 lac (negotiable ). It is a semi-furnished property. It has 1 wardrobe, 1 tv, 1 refrigerator and 1 sofa. It also has 1 dining table, 1 ac and 1 bed. The property provides an excellent view as it overlooks the road. The property is available on freehold. It has 2 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact for more details. ",1,east,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,
Faizabad Road,990,1999000,INR,,1,1,ready to move in in in residential flats are available at Max Miracle homes on faizabad road lucknow with 85% bank loan facility available from government banks.,1,northeast,0,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,
Sushant Golf City,1000,800000,INR,,1,1,"Well designed 3 bhk builder floor is available at a prime location in Lucknow Heights Infra Dream Valley. The house is unfurnished. It has rain water harvesting as well as club house. The project also has gymnasium, power backup, staff quarter, children's play area, 24 x 7 security, car parking, sports facility and jogging track. The property has 4 bathrooms and 4 balconies. It is a 5 year old ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas. Kindly call us for details. ",1,,0,5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,7.4,8.2,123.0,,1.0,,,,1.0,,,,1.0,,,
Sarvodaya Nagar,1090,4750000,INR,,1,1,It’s a 2 bhk builder floor situated in Sarvodaya Nagar. It has an area of 1090 sqft with a carpet area of 900 sqft . The property is available at a price of Rs. 47.50 lac (negotiable ). The house is semi-furnished. It’s on 3rd floor out of 4 floors building. It is facing east direction. It has 2 bathrooms and 1 balcony. This residential property is ready-to-move-in. Contact us for more details. ,1,east,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Deva Road,1100,3800000,INR,,1,1,"This spacious 2 bhk builder floor is available for sale and is located in the heart of Deva Road. It has a salable area of 1100 sqft and is available at a price of Rs. 3,454 per sqft. It is a semi-furnished property. It has 1 wardrobe, 1 refrigerator, 1 dining table and 1 ac. It also has 1 bed. The property provides an excellent view as it overlooks the road. The property is available on freehold. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,east,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,
Fazullaganj,1000,3600000,INR,,1,1,"A 2 bhk property is available for sale in Fazullaganj, Lucknow. It has an area of 1000 sqft with a carpet area of 980 sqft . The property is available at a price of Rs. 36.00 lac (negotiable ). It has 1 wardrobe, 1 tv, 1 refrigerator and 1 sofa. It also has 1 ac and 1 bed. It has 2 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. ",1,east,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,
Sushant Golf City,1000,800000,INR,,1,1,"This spacious 2 bhk builder floor is available for sale and is located in Lucknow Heights Infra Dream Valley, one of the most prestigious projects of Sushant Golf City. It is an unfurnished property. It has gymnasium as well as club house. The project also has 24 x 7 security, children's play area, car parking, sports facility, staff quarter, jogging track, rain water harvesting and power backup. It is a garden facing property. It has 1 bathroom and 5 balconies. It is a ready-to-move-in property. The society is well connected by different modes of transportation. Please contact for more details. ",1,,0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,7.4,8.2,123.0,,1.0,,,,1.0,,,,1.0,,,
Sushant Golf City,1000,1450000,INR,,1,1,"It’s a 1 bhk builder floor situated in Lucknow Heights Infra Dream Valley, Sushant Golf City. It has an area of 1000 sqft with a carpet area of 5 sqft . The property is available at a price of Rs. 14.50 lac (negotiable ). It is an unfurnished property. It is on the ground floor of the building (total number of floors are 2). It is west facing property. It has 4 bathrooms and 2 balconies. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,west,0,5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,7.4,8.2,123.0,,1.0,,,,1.0,,,,1.0,,,
Aliganj,1600,8000000,INR,,0,0,This spacious 3 bhk builder floor is available for sale and is located in the heart of Aliganj. It has a built-up area of 1600 sqft and is priced at Rs. 80.00 lac . The house is furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Contact us for more details. ,1,,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,,,,,,,,,,,,,,,
